TimeUs,Urg (Ch1),Ugen,Ugs (Ch2),Urn (Ch3),Uds (Ch4)
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,1970.6666666666667,2536.0,600.0,4234.666666666667,3586.6666666666665
31,1968.0,2530.6666666666665,600.0,4232.0,3592.0
32,1965.3333333333333,2525.3333333333335,600.0,4229.333333333333,3600.0
33,1957.3333333333333,2522.6666666666665,600.0,4229.333333333333,3602.6666666666665
34,1952.0,2517.3333333333335,602.6666666666666,4224.0,3605.3333333333335
35,1949.3333333333333,2512.0,602.6666666666666,4218.666666666667,3613.3333333333335
36,1944.0,2506.6666666666665,602.6666666666666,4213.333333333333,3618.6666666666665
37,1936.0,2501.3333333333335,602.6666666666666,4208.0,3621.3333333333335
38,1933.3333333333333,2496.0,602.6666666666666,4202.666666666667,3626.6666666666665
39,1930.6666666666667,2493.3333333333335,602.6666666666666,4200.0,3632.0
40,1928.0,2488.0,600.0,4197.333333333333,3637.3333333333335
41,1925.3333333333333,2485.3333333333335,600.0,4194.666666666667,3642.6666666666665
42,1920.0,2482.6666666666665,600.0,4189.333333333333,3645.3333333333335
43,1914.6666666666667,2477.3333333333335,600.0,4186.666666666667,3650.6666666666665
44,1909.3333333333333,2472.0,600.0,4181.333333333333,3656.0
45,1906.6666666666667,2469.3333333333335,600.0,4176.0,3661.3333333333335
46,1904.0,2466.6666666666665,600.0,4170.666666666667,3666.6666666666665
47,1901.3333333333333,2461.3333333333335,600.0,4165.333333333333,3672.0
48,1896.0,2458.6666666666665,600.0,4160.0,3680.0
49,1893.3333333333333,2456.0,597.3333333333334,4154.666666666667,3682.6666666666665
50,1888.0,2450.6666666666665,597.3333333333334,4152.0,3688.0
51,1885.3333333333333,2445.3333333333335,597.3333333333334,4149.333333333333,3690.6666666666665
52,1882.6666666666667,2440.0,594.6666666666666,4144.0,3693.3333333333335
53,1877.3333333333333,2434.6666666666665,594.6666666666666,4138.666666666667,3696.0
54,1872.0,2429.3333333333335,594.6666666666666,4136.0,3701.3333333333335
55,1866.6666666666667,2426.6666666666665,597.3333333333334,4133.333333333333,3704.0
56,1864.0,2424.0,600.0,4130.666666666667,3709.3333333333335
57,1861.3333333333333,2424.0,600.0,4128.0,3714.6666666666665
58,1856.0,2421.3333333333335,600.0,4122.666666666667,3720.0
59,1853.3333333333333,2416.0,600.0,4117.333333333333,3725.3333333333335
60,1848.0,2408.0,600.0,4112.0,3730.6666666666665
61,1842.6666666666667,2405.3333333333335,602.6666666666666,4104.0,3736.0
62,1840.0,2402.6666666666665,602.6666666666666,4096.0,3738.6666666666665
63,1837.3333333333333,2397.3333333333335,602.6666666666666,4088.0,3744.0
64,1832.0,2394.6666666666665,600.0,4082.6666666666665,3749.3333333333335
65,1826.6666666666667,2392.0,600.0,4077.3333333333335,3752.0
66,1824.0,2386.6666666666665,600.0,4072.0,3754.6666666666665
67,1821.3333333333333,2381.3333333333335,600.0,4066.6666666666665,3762.6666666666665
68,1816.0,2376.0,600.0,4061.3333333333335,3768.0
69,1810.6666666666667,2370.6666666666665,600.0,4056.0,3773.3333333333335
70,1802.6666666666667,2365.3333333333335,600.0,4048.0,3778.6666666666665
