Channel              :,CH1,CH2
Frequency            :,499.2Hz,498.3Hz
Period               :,2.003ms,2.007ms
PK-PK                :,3.920V,1.120V
Probe attenuation    :,10X,10X
Voltage per ADC value:,2.500000mV,2.500000mV
Time interval        :,2.00000uS,2.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,2000.000000,-1960.000000
2,2000.000000,-1960.000000
3,1960.000000,-2000.000000
4,2000.000000,-1960.000000
5,2000.000000,-1960.000000
6,1960.000000,-2000.000000
7,2000.000000,-1960.000000
8,2000.000000,-2000.000000
9,2000.000000,-2000.000000
10,2000.000000,-2000.000000
11,2000.000000,-2000.000000
12,2000.000000,-2000.000000
13,1960.000000,-1960.000000
14,2000.000000,-1960.000000
15,2000.000000,-1960.000000
16,2000.000000,-2000.000000
17,2000.000000,-1960.000000
18,2000.000000,-1960.000000
19,2000.000000,-1960.000000
20,2000.000000,-1960.000000
21,2000.000000,-1960.000000
22,1960.000000,-1960.000000
23,1960.000000,-2000.000000
24,1960.000000,-2000.000000
25,1960.000000,-1960.000000
26,2000.000000,-2000.000000
27,2000.000000,-1960.000000
28,2000.000000,-2000.000000
29,2000.000000,-2000.000000
30,2000.000000,-1960.000000
31,2000.000000,-1960.000000
32,2000.000000,-2000.000000
33,2000.000000,-2000.000000
34,2000.000000,-1960.000000
35,2000.000000,-1960.000000
36,2000.000000,-1960.000000
37,1960.000000,-1960.000000
38,2000.000000,-2000.000000
39,2000.000000,-2000.000000
40,2000.000000,-2000.000000
41,1960.000000,-1960.000000
42,2000.000000,-1960.000000
43,2000.000000,-1960.000000
44,2000.000000,-1960.000000
45,2000.000000,-2000.000000
46,2000.000000,-2000.000000
47,1960.000000,-2000.000000
48,1960.000000,-2000.000000
49,2000.000000,-1960.000000
50,2000.000000,-1960.000000
51,2000.000000,-2000.000000
52,2000.000000,-2000.000000
53,2000.000000,-1960.000000
54,1960.000000,-2000.000000
55,1960.000000,-1960.000000
56,2000.000000,-1960.000000
57,2000.000000,-1960.000000
58,2000.000000,-1960.000000
59,1960.000000,-1960.000000
