TimeUs,Ugen,Ur1,Uc1
4,-3200.0,80.0,-3200.0
8,-3200.0,80.0,-3120.0
12,-3200.0,0.0,-3120.0
16,-3200.0,80.0,-3200.0
20,-3200.0,80.0,-3120.0
24,-3200.0,80.0,-3200.0
28,-3200.0,80.0,-3200.0
32,-3200.0,80.0,-3200.0
36,-3200.0,0.0,-3200.0
40,-3200.0,80.0,-3200.0
44,-3200.0,80.0,-3200.0
48,-3200.0,80.0,-3200.0
52,-3200.0,0.0,-3200.0
56,-3200.0,80.0,-3200.0
60,-3200.0,80.0,-3120.0
64,-3200.0,0.0,-3120.0
68,-3120.0,80.0,-3120.0
72,-3200.0,80.0,-3120.0
76,-3200.0,80.0,-3200.0
80,-3200.0,0.0,-3200.0
84,-3200.0,80.0,-3120.0
88,-3200.0,80.0,-3200.0
92,-3200.0,0.0,-3200.0
96,-3200.0,80.0,-3120.0
100,-3200.0,80.0,-3120.0
104,-3120.0,80.0,-3200.0
108,-3200.0,80.0,-3200.0
112,-3120.0,80.0,-3120.0
116,-3200.0,80.0,-3120.0
120,-3120.0,80.0,-3120.0
124,-3120.0,80.0,-3200.0
128,-3200.0,0.0,-3120.0
132,-3120.0,0.0,-3200.0
136,-3120.0,80.0,-3200.0
140,-3120.0,80.0,-3200.0
144,-3120.0,80.0,-3120.0
148,-3200.0,80.0,-3120.0
152,-3200.0,80.0,-3200.0
156,-3120.0,80.0,-3120.0
160,-3120.0,80.0,-3120.0
164,-3120.0,80.0,-3200.0
168,-3200.0,80.0,-3200.0
172,-3200.0,80.0,-3200.0
176,-3120.0,80.0,-3120.0
180,-3200.0,80.0,-3120.0
184,-3200.0,80.0,-3120.0
188,-3200.0,80.0,-3200.0
192,-3200.0,0.0,-3200.0
196,-3200.0,80.0,-3120.0
200,-3120.0,80.0,-3120.0
204,-3200.0,0.0,-3200.0
208,-3200.0,80.0,-3200.0
212,-3200.0,80.0,-3200.0
216,-3200.0,0.0,-3200.0
220,-3120.0,80.0,-3200.0
224,-3200.0,80.0,-3120.0
228,-3120.0,80.0,-3200.0
232,-3120.0,80.0,-3200.0
236,-3200.0,80.0,-3120.0
240,-3120.0,80.0,-3200.0
244,-3200.0,80.0,-3200.0
248,-3120.0,80.0,-3200.0
252,-3120.0,80.0,-3120.0
256,-3200.0,80.0,-3200.0
260,-3200.0,80.0,-3120.0
264,-3120.0,80.0,-3200.0
268,-3200.0,0.0,-3200.0
272,-3120.0,80.0,-3200.0
276,-3200.0,80.0,-3200.0
280,-3200.0,80.0,-3200.0
284,-3200.0,80.0,-3200.0
288,-3120.0,80.0,-3200.0
292,-3200.0,80.0,-3200.0
296,-3200.0,80.0,-3120.0
300,-3200.0,80.0,-3120.0
304,-3200.0,0.0,-3120.0
308,-3200.0,80.0,-3200.0
312,-3120.0,80.0,-3200.0
316,-3120.0,80.0,-3200.0
320,-3200.0,0.0,-3120.0
324,-3120.0,0.0,-3200.0
328,-3200.0,80.0,-3120.0
332,-3200.0,0.0,-3120.0
336,-3200.0,0.0,-3120.0
340,-3120.0,80.0,-3120.0
344,-3200.0,80.0,-3120.0
348,-3120.0,80.0,-3200.0
352,-3200.0,80.0,-3200.0
356,-3200.0,80.0,-3120.0
360,-3200.0,80.0,-3200.0
364,-3200.0,80.0,-3200.0
368,-3120.0,80.0,-3120.0
372,-3200.0,80.0,-3200.0
376,-3120.0,0.0,-3120.0
380,-3120.0,0.0,-3200.0
384,-3200.0,0.0,-3200.0
388,-3200.0,80.0,-3200.0
392,-3120.0,80.0,-3120.0
396,-3200.0,80.0,-3200.0
400,-3200.0,80.0,-3200.0
404,-3120.0,0.0,-3200.0
408,-3200.0,0.0,-3200.0
412,-3200.0,0.0,-3120.0
416,-3200.0,80.0,-3200.0
420,-3200.0,80.0,-3200.0
424,-3120.0,80.0,-3200.0
428,-3200.0,80.0,-3120.0
432,-3120.0,80.0,-3120.0
436,-3200.0,80.0,-3120.0
440,-3200.0,0.0,-3120.0
444,-3120.0,0.0,-3120.0
448,-3120.0,80.0,-3200.0
452,-3200.0,80.0,-3120.0
456,-3120.0,0.0,-3200.0
460,-3200.0,80.0,-3200.0
464,-3120.0,80.0,-3200.0
468,-3200.0,80.0,-3120.0
472,-3120.0,80.0,-3200.0
476,-3200.0,80.0,-3120.0
480,-3200.0,80.0,-3200.0
484,-3200.0,80.0,-3200.0
488,-3200.0,0.0,-3200.0
492,-3200.0,80.0,-3200.0
496,-3200.0,80.0,-3120.0
500,-3120.0,80.0,-3200.0
504,-3200.0,80.0,-3200.0
508,-3200.0,80.0,-3200.0
512,-3200.0,80.0,-3120.0
516,-3200.0,80.0,-3200.0
520,-3200.0,0.0,-3200.0
524,-3200.0,80.0,-3200.0
528,-3200.0,80.0,-3120.0
532,-3200.0,0.0,-3120.0
536,-3200.0,80.0,-3120.0
540,-3200.0,0.0,-3120.0
544,-3200.0,80.0,-3200.0
548,-3200.0,80.0,-3200.0
552,-3200.0,80.0,-3200.0
556,-3200.0,0.0,-3200.0
560,-3120.0,80.0,-3120.0
564,-3200.0,80.0,-3200.0
568,-3120.0,80.0,-3200.0
572,-3200.0,80.0,-3120.0
576,-3200.0,80.0,-3200.0
580,-3120.0,80.0,-3200.0
584,-3120.0,80.0,-3120.0
588,-3200.0,80.0,-3200.0
592,-3200.0,80.0,-3120.0
596,-3200.0,80.0,-3200.0
600,-3120.0,80.0,-3200.0
604,-3200.0,0.0,-3200.0
608,-3120.0,0.0,-3200.0
612,-3200.0,80.0,-3200.0
616,-3120.0,80.0,-3120.0
620,-3200.0,80.0,-3200.0
624,-3120.0,80.0,-3200.0
628,-3120.0,80.0,-3200.0
632,-3120.0,80.0,-3200.0
636,-3120.0,0.0,-3200.0
640,-3200.0,80.0,-3120.0
644,-3200.0,80.0,-3200.0
648,-3120.0,80.0,-3200.0
652,-3200.0,80.0,-3200.0
656,-3120.0,80.0,-3200.0
660,-3120.0,80.0,-3200.0
664,-3120.0,80.0,-3120.0
668,-3200.0,80.0,-3120.0
672,-3120.0,80.0,-3200.0
676,-3200.0,80.0,-3200.0
