TimeUs,Ugen,Ur1,Uc1
2,-80.0,0.0,0.0
4,-80.0,0.0,0.0
6,0.0,0.0,40.0
8,-80.0,0.0,0.0
10,-80.0,0.0,0.0
12,-80.0,0.0,0.0
14,0.0,0.0,0.0
16,-80.0,0.0,40.0
18,0.0,0.0,40.0
20,-80.0,0.0,0.0
22,-80.0,0.0,0.0
24,0.0,0.0,0.0
26,0.0,0.0,40.0
28,0.0,0.0,40.0
30,0.0,80.0,40.0
32,-80.0,0.0,40.0
34,0.0,80.0,40.0
36,-80.0,0.0,0.0
38,0.0,0.0,0.0
40,-80.0,0.0,40.0
42,-80.0,0.0,40.0
44,0.0,0.0,40.0
46,0.0,0.0,0.0
48,-80.0,0.0,40.0
50,0.0,0.0,40.0
52,0.0,0.0,40.0
54,-80.0,0.0,40.0
56,-80.0,0.0,0.0
58,-80.0,0.0,40.0
60,-80.0,0.0,40.0
62,0.0,0.0,0.0
64,-80.0,0.0,40.0
66,-80.0,0.0,0.0
68,0.0,0.0,0.0
70,-80.0,0.0,40.0
72,0.0,0.0,0.0
74,0.0,0.0,40.0
76,0.0,0.0,0.0
78,-80.0,0.0,0.0
80,0.0,0.0,0.0
82,-80.0,0.0,40.0
84,0.0,0.0,40.0
86,0.0,0.0,0.0
88,0.0,0.0,0.0
90,-80.0,0.0,40.0
92,-80.0,0.0,0.0
94,0.0,0.0,0.0
96,0.0,0.0,0.0
98,0.0,0.0,0.0
100,0.0,0.0,40.0
102,-80.0,0.0,0.0
104,0.0,0.0,0.0
106,0.0,0.0,40.0
108,0.0,0.0,40.0
110,-80.0,0.0,40.0
112,0.0,0.0,0.0
114,0.0,0.0,0.0
116,0.0,0.0,40.0
118,-80.0,0.0,40.0
120,-80.0,0.0,40.0
122,0.0,0.0,0.0
124,-80.0,0.0,0.0
126,0.0,0.0,40.0
128,-80.0,0.0,40.0
130,0.0,0.0,40.0
132,-80.0,0.0,0.0
134,0.0,0.0,40.0
136,0.0,0.0,0.0
138,-80.0,0.0,0.0
140,0.0,0.0,40.0
142,-80.0,0.0,0.0
144,0.0,0.0,40.0
146,-80.0,0.0,0.0
148,0.0,0.0,0.0
150,-80.0,0.0,0.0
152,0.0,0.0,40.0
154,-80.0,0.0,40.0
156,0.0,0.0,40.0
158,-80.0,80.0,0.0
160,-80.0,0.0,0.0
162,-80.0,0.0,40.0
164,-80.0,0.0,0.0
166,-80.0,0.0,0.0
168,0.0,0.0,0.0
170,-80.0,0.0,0.0
172,-80.0,80.0,0.0
174,-80.0,80.0,40.0
176,0.0,0.0,0.0
178,0.0,0.0,0.0
180,0.0,0.0,0.0
182,0.0,0.0,40.0
184,0.0,0.0,0.0
186,-80.0,0.0,40.0
188,-80.0,0.0,40.0
190,0.0,0.0,40.0
192,0.0,80.0,40.0
194,-80.0,0.0,0.0
196,-80.0,0.0,40.0
198,-80.0,0.0,0.0
200,-80.0,0.0,40.0
202,-80.0,0.0,0.0
204,-80.0,0.0,0.0
206,0.0,0.0,40.0
208,0.0,0.0,40.0
210,0.0,0.0,40.0
212,0.0,0.0,40.0
214,0.0,0.0,0.0
216,-80.0,0.0,0.0
218,0.0,0.0,40.0
220,0.0,0.0,40.0
222,-80.0,80.0,40.0
224,-80.0,0.0,0.0
226,0.0,0.0,0.0
228,0.0,0.0,40.0
230,0.0,0.0,0.0
232,-80.0,0.0,0.0
234,0.0,0.0,40.0
236,0.0,0.0,40.0
238,-80.0,0.0,40.0
240,-80.0,0.0,40.0
242,-80.0,0.0,40.0
244,0.0,0.0,0.0
246,0.0,0.0,40.0
248,-80.0,0.0,40.0
250,0.0,0.0,0.0
252,0.0,0.0,0.0
254,0.0,0.0,0.0
256,0.0,0.0,0.0
258,0.0,0.0,0.0
260,-80.0,0.0,40.0
262,0.0,0.0,40.0
264,0.0,0.0,40.0
266,0.0,0.0,0.0
268,0.0,0.0,40.0
270,0.0,0.0,0.0
272,-80.0,0.0,40.0
274,-80.0,0.0,40.0
276,0.0,0.0,0.0
278,-80.0,0.0,0.0
280,-80.0,0.0,40.0
282,0.0,0.0,0.0
284,0.0,0.0,0.0
286,-80.0,0.0,40.0
288,-80.0,0.0,40.0
290,-80.0,0.0,0.0
292,-80.0,0.0,40.0
294,-80.0,0.0,0.0
296,0.0,0.0,0.0
298,-80.0,0.0,40.0
300,0.0,0.0,0.0
302,0.0,0.0,40.0
304,-80.0,0.0,40.0
306,0.0,0.0,40.0
308,-80.0,0.0,40.0
310,0.0,0.0,0.0
312,0.0,0.0,40.0
314,-80.0,80.0,40.0
316,0.0,0.0,40.0
318,-80.0,80.0,0.0
320,-80.0,0.0,40.0
322,0.0,0.0,0.0
324,0.0,80.0,40.0
326,-80.0,0.0,40.0
328,-80.0,0.0,40.0
330,0.0,0.0,0.0
332,-80.0,80.0,0.0
334,0.0,0.0,0.0
336,0.0,0.0,0.0
338,0.0,0.0,40.0
340,-80.0,0.0,40.0
342,0.0,0.0,0.0
344,0.0,0.0,40.0
346,-80.0,0.0,40.0
348,0.0,80.0,0.0
350,-80.0,0.0,0.0
352,0.0,0.0,40.0
354,0.0,80.0,40.0
356,0.0,0.0,40.0
358,-80.0,0.0,40.0
360,0.0,0.0,0.0
362,0.0,0.0,40.0
364,0.0,0.0,40.0
366,0.0,0.0,0.0
368,-80.0,0.0,40.0
370,0.0,0.0,0.0
372,-80.0,0.0,40.0
374,0.0,0.0,40.0
376,-80.0,0.0,0.0
378,0.0,0.0,40.0
380,-80.0,0.0,0.0
382,0.0,0.0,40.0
384,-80.0,0.0,0.0
386,-80.0,0.0,0.0
388,0.0,0.0,0.0
390,0.0,0.0,40.0
392,-80.0,0.0,40.0
394,0.0,0.0,40.0
396,0.0,0.0,40.0
398,0.0,0.0,40.0
400,0.0,0.0,40.0
402,-80.0,0.0,0.0
404,0.0,0.0,40.0
406,0.0,0.0,40.0
408,0.0,0.0,40.0
410,-80.0,0.0,40.0
412,-80.0,0.0,0.0
414,0.0,0.0,40.0
416,0.0,0.0,40.0
418,0.0,0.0,40.0
420,-80.0,0.0,0.0
422,-80.0,0.0,40.0
424,-80.0,0.0,0.0
426,0.0,0.0,0.0
428,-80.0,0.0,0.0
430,-80.0,0.0,40.0
432,0.0,0.0,40.0
434,0.0,0.0,0.0
436,-80.0,0.0,0.0
438,-80.0,0.0,40.0
440,-80.0,0.0,0.0
442,-80.0,0.0,0.0
444,0.0,0.0,40.0
446,-80.0,0.0,0.0
448,-80.0,0.0,0.0
450,-80.0,0.0,0.0
452,0.0,0.0,0.0
454,-80.0,80.0,0.0
456,-80.0,0.0,0.0
458,0.0,0.0,40.0
460,0.0,0.0,40.0
462,-80.0,0.0,0.0
464,0.0,80.0,40.0
466,0.0,0.0,40.0
468,-80.0,0.0,0.0
470,-80.0,0.0,40.0
472,-80.0,0.0,40.0
474,-80.0,0.0,0.0
476,-80.0,0.0,0.0
478,0.0,0.0,40.0
480,0.0,0.0,40.0
482,0.0,0.0,40.0
484,-80.0,0.0,0.0
486,0.0,0.0,40.0
488,-80.0,0.0,0.0
490,0.0,0.0,40.0
492,0.0,0.0,40.0
494,0.0,0.0,0.0
496,0.0,80.0,0.0
498,-80.0,0.0,0.0
500,-80.0,80.0,0.0
502,0.0,0.0,0.0
504,-80.0,0.0,0.0
506,0.0,0.0,0.0
508,-80.0,0.0,0.0
510,0.0,0.0,0.0
512,0.0,0.0,40.0
514,-80.0,0.0,0.0
516,0.0,0.0,40.0
518,0.0,0.0,0.0
520,0.0,0.0,40.0
522,-80.0,0.0,40.0
524,-80.0,0.0,0.0
526,0.0,0.0,40.0
528,-80.0,0.0,0.0
530,-80.0,0.0,40.0
532,0.0,0.0,40.0
534,0.0,80.0,0.0
536,-80.0,0.0,40.0
538,-80.0,0.0,0.0
540,0.0,0.0,40.0
542,0.0,0.0,40.0
544,0.0,0.0,40.0
546,0.0,0.0,0.0
548,-80.0,0.0,40.0
550,0.0,0.0,0.0
552,0.0,0.0,0.0
554,-80.0,0.0,40.0
556,-80.0,0.0,0.0
558,0.0,0.0,40.0
560,0.0,0.0,40.0
562,-80.0,0.0,40.0
564,-80.0,0.0,40.0
566,0.0,0.0,0.0
568,0.0,0.0,0.0
570,-80.0,0.0,40.0
572,0.0,0.0,0.0
574,-80.0,0.0,0.0
576,-80.0,0.0,40.0
578,0.0,0.0,40.0
580,-80.0,0.0,0.0
582,-80.0,0.0,0.0
584,0.0,0.0,40.0
586,-80.0,0.0,40.0
588,0.0,0.0,40.0
590,0.0,0.0,40.0
592,-80.0,0.0,0.0
594,0.0,0.0,40.0
596,-80.0,0.0,40.0
598,-80.0,0.0,0.0
600,-1440.0,0.0,40.0
602,-2000.0,-1280.0,0.0
604,-2000.0,-1840.0,0.0
606,-2000.0,-1840.0,0.0
608,-2000.0,-1920.0,0.0
610,-2000.0,-1840.0,0.0
612,-2000.0,-1840.0,0.0
614,-2000.0,-1840.0,0.0
616,-2000.0,-1840.0,0.0
618,-2000.0,-1840.0,0.0
620,-2000.0,-1760.0,0.0
622,-2000.0,-1760.0,-40.0
624,-2000.0,-1760.0,-40.0
626,-2000.0,-1840.0,-40.0
628,-2000.0,-1840.0,-40.0
630,-1920.0,-1760.0,-40.0
632,-2000.0,-1840.0,-40.0
634,-1920.0,-1760.0,-80.0
636,-2000.0,-1760.0,-80.0
638,-2000.0,-1760.0,-80.0
640,-2000.0,-1760.0,-80.0
642,-2000.0,-1840.0,-80.0
644,-2000.0,-1760.0,-80.0
646,-2000.0,-1760.0,-80.0
648,-2000.0,-1840.0,-80.0
650,-2000.0,-1760.0,-80.0
652,-2000.0,-1760.0,-120.0
654,-2000.0,-1760.0,-120.0
656,-2000.0,-1760.0,-80.0
658,-2000.0,-1760.0,-80.0
660,-2000.0,-1760.0,-80.0
662,-2000.0,-1760.0,-120.0
664,-2000.0,-1760.0,-120.0
666,-2000.0,-1760.0,-120.0
668,-2000.0,-1680.0,-80.0
670,-2000.0,-1760.0,-120.0
672,-2000.0,-1760.0,-120.0
674,-2000.0,-1680.0,-120.0
676,-2000.0,-1760.0,-120.0
678,-2000.0,-1760.0,-160.0
680,-2000.0,-1680.0,-160.0
682,-2000.0,-1760.0,-160.0
684,-1920.0,-1680.0,-160.0
686,-2000.0,-1760.0,-160.0
688,-2000.0,-1760.0,-160.0
690,-2000.0,-1680.0,-160.0
692,-2000.0,-1680.0,-160.0
694,-2000.0,-1680.0,-160.0
696,-2000.0,-1680.0,-160.0
698,-2000.0,-1680.0,-160.0
700,-2000.0,-1680.0,-200.0
702,-2000.0,-1680.0,-200.0
704,-2000.0,-1680.0,-200.0
706,-2000.0,-1600.0,-200.0
708,-2000.0,-1680.0,-200.0
710,-2000.0,-1680.0,-200.0
712,-2000.0,-1600.0,-200.0
714,-2000.0,-1680.0,-200.0
716,-2000.0,-1680.0,-200.0
718,-2000.0,-1680.0,-240.0
720,-2000.0,-1600.0,-240.0
722,-2000.0,-1600.0,-240.0
724,-2000.0,-1680.0,-240.0
726,-2000.0,-1680.0,-240.0
728,-2000.0,-1600.0,-240.0
730,-2000.0,-1600.0,-240.0
732,-2000.0,-1600.0,-240.0
734,-2000.0,-1600.0,-240.0
736,-2000.0,-1600.0,-240.0
738,-2000.0,-1600.0,-280.0
740,-2000.0,-1600.0,-280.0
742,-2000.0,-1600.0,-240.0
744,-2000.0,-1600.0,-280.0
746,-2000.0,-1600.0,-280.0
748,-2000.0,-1600.0,-280.0
750,-2000.0,-1600.0,-280.0
752,-2000.0,-1600.0,-280.0
754,-2080.0,-1600.0,-280.0
756,-2000.0,-1600.0,-280.0
758,-2000.0,-1520.0,-280.0
760,-2080.0,-1520.0,-280.0
762,-2080.0,-1600.0,-280.0
764,-2000.0,-1600.0,-320.0
766,-2000.0,-1520.0,-320.0
768,-2000.0,-1600.0,-320.0
770,-2000.0,-1600.0,-320.0
772,-2000.0,-1520.0,-320.0
774,-2000.0,-1520.0,-320.0
776,-2000.0,-1520.0,-320.0
778,-2000.0,-1520.0,-320.0
780,-2000.0,-1520.0,-320.0
782,-2000.0,-1600.0,-320.0
784,-2080.0,-1520.0,-320.0
786,-2000.0,-1520.0,-320.0
788,-2000.0,-1520.0,-360.0
790,-2000.0,-1520.0,-320.0
792,-2000.0,-1520.0,-360.0
794,-2080.0,-1520.0,-360.0
796,-2000.0,-1520.0,-360.0
798,-2000.0,-1520.0,-360.0
800,-2000.0,-1440.0,-360.0
802,-2000.0,-1520.0,-360.0
804,-2000.0,-1520.0,-360.0
806,-2000.0,-1520.0,-360.0
808,-2080.0,-1520.0,-400.0
810,-2000.0,-1520.0,-360.0
812,-2080.0,-1440.0,-360.0
814,-2000.0,-1440.0,-400.0
816,-2000.0,-1520.0,-360.0
818,-2000.0,-1520.0,-400.0
820,-2000.0,-1440.0,-400.0
822,-2000.0,-1440.0,-400.0
824,-2000.0,-1520.0,-400.0
826,-2000.0,-1520.0,-400.0
828,-2000.0,-1520.0,-400.0
830,-2000.0,-1520.0,-400.0
832,-2080.0,-1520.0,-400.0
834,-2000.0,-1440.0,-400.0
836,-2000.0,-1440.0,-400.0
838,-2080.0,-1440.0,-400.0
840,-2080.0,-1440.0,-400.0
842,-2000.0,-1440.0,-400.0
844,-2080.0,-1440.0,-440.0
846,-2000.0,-1440.0,-440.0
848,-2000.0,-1440.0,-400.0
850,-2000.0,-1440.0,-440.0
852,-2080.0,-1440.0,-440.0
854,-2000.0,-1440.0,-440.0
856,-2000.0,-1440.0,-440.0
858,-2000.0,-1440.0,-480.0
860,-2000.0,-1440.0,-480.0
862,-2000.0,-1440.0,-440.0
864,-2000.0,-1440.0,-440.0
866,-2000.0,-1440.0,-440.0
868,-2080.0,-1360.0,-480.0
870,-2000.0,-1440.0,-480.0
872,-2000.0,-1440.0,-480.0
874,-2000.0,-1440.0,-480.0
876,-2080.0,-1360.0,-480.0
878,-2000.0,-1360.0,-480.0
880,-2000.0,-1360.0,-480.0
882,-2080.0,-1440.0,-480.0
884,-2000.0,-1360.0,-520.0
886,-2000.0,-1360.0,-520.0
888,-2000.0,-1360.0,-480.0
890,-2080.0,-1360.0,-520.0
892,-2000.0,-1360.0,-520.0
894,-2000.0,-1360.0,-520.0
896,-2080.0,-1360.0,-520.0
898,-2000.0,-1360.0,-480.0
900,-2000.0,-1360.0,-520.0
902,-2080.0,-1360.0,-520.0
904,-2080.0,-1360.0,-520.0
906,-2080.0,-1360.0,-520.0
908,-2000.0,-1360.0,-520.0
910,-2080.0,-1360.0,-560.0
912,-2080.0,-1360.0,-560.0
914,-2000.0,-1360.0,-560.0
916,-2000.0,-1360.0,-560.0
918,-2000.0,-1360.0,-520.0
920,-2000.0,-1280.0,-560.0
922,-2080.0,-1280.0,-560.0
924,-2080.0,-1280.0,-560.0
926,-2080.0,-1280.0,-560.0
928,-2000.0,-1360.0,-560.0
930,-2000.0,-1280.0,-560.0
932,-2000.0,-1280.0,-560.0
934,-2000.0,-1280.0,-560.0
936,-2080.0,-1280.0,-560.0
938,-2080.0,-1280.0,-560.0
940,-2000.0,-1360.0,-560.0
942,-2000.0,-1280.0,-600.0
944,-2000.0,-1280.0,-600.0
946,-2080.0,-1280.0,-600.0
948,-2080.0,-1280.0,-600.0
950,-2080.0,-1280.0,-600.0
952,-2080.0,-1280.0,-600.0
954,-2000.0,-1280.0,-600.0
956,-2080.0,-1280.0,-600.0
958,-2080.0,-1280.0,-600.0
960,-2000.0,-1280.0,-600.0
962,-2080.0,-1280.0,-600.0
964,-2080.0,-1280.0,-600.0
966,-2000.0,-1280.0,-640.0
968,-2000.0,-1280.0,-640.0
970,-2000.0,-1280.0,-600.0
972,-2080.0,-1280.0,-640.0
974,-2080.0,-1280.0,-640.0
976,-2080.0,-1280.0,-640.0
978,-2080.0,-1280.0,-640.0
980,-2080.0,-1280.0,-640.0
982,-2080.0,-1200.0,-640.0
984,-2080.0,-1280.0,-640.0
986,-2080.0,-1200.0,-640.0
988,-2000.0,-1280.0,-680.0
990,-2080.0,-1280.0,-640.0
992,-2000.0,-1200.0,-640.0
994,-2080.0,-1200.0,-640.0
