TimeUs,Ugen,Ur1,Uc1
10,-80.0,0.0,40.0
20,-80.0,0.0,0.0
30,0.0,0.0,0.0
40,-80.0,0.0,0.0
50,0.0,0.0,0.0
60,-80.0,0.0,0.0
70,-80.0,0.0,0.0
80,0.0,0.0,40.0
90,-80.0,0.0,40.0
100,-80.0,0.0,40.0
110,0.0,0.0,0.0
120,0.0,0.0,40.0
130,0.0,0.0,0.0
140,0.0,0.0,40.0
150,-80.0,0.0,40.0
160,0.0,0.0,0.0
170,0.0,0.0,40.0
180,-80.0,0.0,40.0
190,0.0,0.0,0.0
200,-80.0,0.0,40.0
210,0.0,0.0,0.0
220,0.0,0.0,0.0
230,-80.0,0.0,0.0
240,-80.0,0.0,0.0
250,0.0,0.0,0.0
260,0.0,0.0,40.0
270,-80.0,0.0,40.0
280,-80.0,0.0,0.0
290,0.0,0.0,0.0
300,0.0,0.0,40.0
310,-80.0,0.0,40.0
320,0.0,0.0,0.0
330,0.0,0.0,40.0
340,0.0,0.0,40.0
350,0.0,0.0,0.0
360,0.0,0.0,40.0
370,0.0,0.0,40.0
380,-80.0,80.0,40.0
390,0.0,0.0,40.0
400,-80.0,0.0,40.0
410,-80.0,0.0,40.0
420,-80.0,0.0,40.0
430,-80.0,0.0,40.0
440,-80.0,0.0,40.0
450,-80.0,0.0,0.0
460,0.0,0.0,0.0
470,-80.0,0.0,0.0
480,-80.0,0.0,0.0
490,0.0,0.0,40.0
500,0.0,0.0,40.0
510,-80.0,0.0,0.0
520,0.0,0.0,0.0
530,0.0,0.0,0.0
540,-80.0,0.0,0.0
550,0.0,0.0,40.0
560,0.0,0.0,40.0
570,0.0,0.0,40.0
580,-80.0,0.0,40.0
590,-80.0,0.0,0.0
600,0.0,0.0,0.0
610,-80.0,0.0,0.0
620,0.0,0.0,40.0
630,0.0,0.0,0.0
640,0.0,0.0,0.0
650,-80.0,0.0,0.0
660,-80.0,80.0,40.0
670,0.0,0.0,40.0
680,0.0,0.0,0.0
690,0.0,0.0,40.0
700,-80.0,0.0,0.0
710,-80.0,0.0,0.0
720,-80.0,0.0,0.0
730,-80.0,0.0,40.0
740,-80.0,0.0,0.0
750,0.0,0.0,40.0
760,0.0,0.0,40.0
770,-80.0,0.0,40.0
780,0.0,0.0,40.0
790,-80.0,0.0,40.0
800,-80.0,80.0,0.0
810,-80.0,0.0,0.0
820,-80.0,0.0,40.0
830,-80.0,0.0,0.0
840,-80.0,0.0,40.0
850,-80.0,0.0,40.0
860,-80.0,0.0,40.0
870,-80.0,0.0,40.0
880,-80.0,0.0,40.0
890,-80.0,80.0,40.0
900,-80.0,0.0,0.0
910,-80.0,0.0,0.0
920,0.0,0.0,0.0
930,-80.0,0.0,0.0
940,0.0,0.0,0.0
950,-80.0,0.0,0.0
960,0.0,0.0,0.0
970,0.0,0.0,40.0
980,0.0,0.0,40.0
990,0.0,0.0,0.0
1000,0.0,0.0,40.0
1010,-80.0,0.0,40.0
1020,-80.0,80.0,0.0
1030,-80.0,0.0,40.0
1040,-80.0,0.0,40.0
1050,-80.0,0.0,0.0
1060,0.0,80.0,40.0
1070,0.0,0.0,40.0
1080,0.0,0.0,0.0
1090,0.0,0.0,0.0
1100,0.0,0.0,40.0
1110,-80.0,0.0,40.0
1120,-80.0,0.0,0.0
1130,0.0,0.0,0.0
