TimeUs,Ugen,Ur1,Uc1
2,40.0,0.0,40.0
4,40.0,0.0,40.0
6,0.0,40.0,0.0
8,0.0,40.0,0.0
10,0.0,0.0,0.0
12,0.0,40.0,40.0
14,0.0,0.0,0.0
16,0.0,0.0,0.0
18,40.0,0.0,40.0
20,0.0,0.0,40.0
22,0.0,0.0,40.0
24,40.0,0.0,40.0
26,0.0,40.0,40.0
28,40.0,0.0,40.0
30,40.0,0.0,0.0
32,40.0,0.0,40.0
34,40.0,0.0,0.0
36,0.0,0.0,0.0
38,0.0,0.0,40.0
40,0.0,40.0,0.0
42,0.0,40.0,40.0
44,0.0,0.0,40.0
46,40.0,0.0,40.0
48,40.0,0.0,40.0
50,0.0,0.0,0.0
52,0.0,0.0,0.0
54,0.0,0.0,40.0
56,0.0,40.0,40.0
58,0.0,40.0,40.0
60,0.0,40.0,40.0
62,0.0,0.0,40.0
64,0.0,0.0,40.0
66,0.0,0.0,40.0
68,40.0,40.0,40.0
70,0.0,0.0,40.0
72,0.0,0.0,0.0
74,0.0,40.0,40.0
76,0.0,40.0,40.0
78,0.0,0.0,0.0
80,0.0,0.0,40.0
82,0.0,40.0,0.0
84,40.0,0.0,0.0
86,0.0,0.0,40.0
88,0.0,0.0,0.0
90,0.0,0.0,40.0
92,0.0,0.0,0.0
94,0.0,40.0,40.0
96,0.0,0.0,0.0
98,40.0,0.0,40.0
100,0.0,40.0,0.0
102,40.0,40.0,0.0
104,40.0,40.0,0.0
106,0.0,40.0,0.0
108,40.0,0.0,0.0
110,0.0,0.0,40.0
112,0.0,40.0,40.0
114,0.0,40.0,40.0
116,0.0,40.0,40.0
118,0.0,0.0,40.0
120,0.0,0.0,0.0
122,0.0,40.0,40.0
124,0.0,0.0,40.0
126,0.0,0.0,0.0
128,0.0,0.0,0.0
130,0.0,0.0,40.0
132,0.0,0.0,40.0
134,0.0,0.0,40.0
136,0.0,40.0,40.0
138,0.0,0.0,40.0
140,0.0,0.0,0.0
142,0.0,0.0,0.0
144,0.0,40.0,40.0
146,0.0,40.0,40.0
148,0.0,0.0,0.0
150,0.0,40.0,40.0
152,0.0,0.0,0.0
154,0.0,0.0,40.0
156,0.0,0.0,40.0
158,0.0,0.0,0.0
160,0.0,0.0,0.0
162,0.0,40.0,40.0
164,0.0,0.0,40.0
166,0.0,40.0,40.0
168,0.0,0.0,40.0
170,0.0,40.0,40.0
172,0.0,0.0,80.0
174,0.0,0.0,40.0
176,40.0,40.0,40.0
178,40.0,40.0,40.0
180,0.0,0.0,0.0
182,0.0,0.0,40.0
184,40.0,0.0,0.0
186,0.0,0.0,40.0
188,40.0,0.0,40.0
190,0.0,0.0,40.0
192,0.0,0.0,40.0
194,0.0,40.0,40.0
196,0.0,0.0,0.0
198,0.0,0.0,0.0
200,0.0,40.0,0.0
202,0.0,40.0,0.0
204,0.0,0.0,0.0
206,0.0,40.0,0.0
208,0.0,40.0,40.0
210,0.0,0.0,40.0
212,0.0,0.0,40.0
214,40.0,0.0,40.0
216,0.0,0.0,40.0
218,0.0,0.0,0.0
220,0.0,40.0,0.0
222,40.0,0.0,40.0
224,0.0,40.0,40.0
226,0.0,40.0,0.0
228,0.0,0.0,0.0
230,0.0,0.0,0.0
232,0.0,0.0,0.0
234,0.0,40.0,40.0
236,0.0,0.0,40.0
238,0.0,0.0,40.0
240,0.0,0.0,0.0
242,40.0,0.0,40.0
244,0.0,0.0,40.0
246,0.0,0.0,40.0
248,0.0,0.0,40.0
250,0.0,40.0,40.0
252,0.0,-40.0,0.0
254,0.0,0.0,40.0
256,40.0,0.0,0.0
258,0.0,0.0,40.0
260,0.0,0.0,40.0
