TimeUs,Ugen,Ur1,Uc1
4,-80.0,0.0,-80.0
8,-80.0,0.0,0.0
12,0.0,0.0,0.0
16,-80.0,0.0,0.0
20,-80.0,0.0,0.0
24,0.0,0.0,0.0
28,-80.0,0.0,0.0
32,0.0,0.0,0.0
36,0.0,80.0,0.0
40,0.0,0.0,0.0
44,-80.0,0.0,-80.0
48,-80.0,0.0,0.0
52,0.0,0.0,0.0
56,0.0,0.0,0.0
60,0.0,0.0,0.0
64,-80.0,0.0,0.0
68,-80.0,0.0,0.0
72,-80.0,0.0,0.0
76,-80.0,0.0,0.0
80,0.0,0.0,80.0
84,-80.0,0.0,0.0
88,-80.0,0.0,0.0
92,0.0,0.0,0.0
96,0.0,0.0,0.0
100,0.0,0.0,0.0
104,-80.0,0.0,0.0
108,0.0,0.0,0.0
112,0.0,0.0,0.0
116,-80.0,80.0,0.0
120,-80.0,0.0,-80.0
124,0.0,0.0,0.0
128,0.0,0.0,0.0
132,-80.0,0.0,0.0
136,-80.0,0.0,0.0
140,-80.0,0.0,0.0
144,-80.0,0.0,0.0
148,-80.0,0.0,0.0
152,-80.0,0.0,0.0
156,-80.0,0.0,0.0
160,-80.0,0.0,0.0
164,-80.0,0.0,0.0
168,0.0,0.0,0.0
172,0.0,0.0,0.0
176,-80.0,0.0,0.0
180,-80.0,0.0,0.0
184,0.0,0.0,0.0
188,0.0,0.0,0.0
192,-80.0,0.0,0.0
196,-80.0,0.0,0.0
200,-80.0,0.0,0.0
204,0.0,0.0,0.0
208,0.0,0.0,0.0
212,0.0,0.0,0.0
216,-80.0,-80.0,0.0
220,0.0,0.0,0.0
224,-80.0,0.0,0.0
228,-80.0,0.0,0.0
232,-80.0,0.0,0.0
236,-80.0,0.0,0.0
240,-80.0,0.0,0.0
244,0.0,0.0,0.0
248,-80.0,0.0,0.0
252,0.0,80.0,0.0
256,0.0,0.0,0.0
260,-80.0,0.0,0.0
264,-80.0,0.0,0.0
268,-80.0,0.0,0.0
272,0.0,0.0,0.0
276,0.0,0.0,0.0
280,-80.0,0.0,0.0
284,0.0,0.0,0.0
288,0.0,0.0,0.0
