Channel              :,CH1,CH2
Frequency            :,500.0Hz,500.0Hz
Period               :,2.000ms,2.000ms
PK-PK                :,7.200V,8.160V
Probe attenuation    :,10X,10X
Voltage per ADC value:,5.000000mV,5.000000mV
Time interval        :,0.40000uS,0.40000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,880.000000,-3520.000000
2,880.000000,-3520.000000
3,880.000000,-3600.000000
4,800.000000,-3600.000000
5,800.000000,-3520.000000
6,880.000000,-3520.000000
7,880.000000,-3520.000000
8,960.000000,-3600.000000
9,960.000000,-3520.000000
10,880.000000,-3520.000000
11,960.000000,-3520.000000
12,960.000000,-3520.000000
13,880.000000,-3520.000000
14,880.000000,-3520.000000
15,960.000000,-3520.000000
16,880.000000,-3520.000000
17,880.000000,-3520.000000
18,880.000000,-3520.000000
19,880.000000,-3520.000000
20,880.000000,-3520.000000
21,880.000000,-3520.000000
22,880.000000,-3520.000000
23,880.000000,-3520.000000
24,960.000000,-3520.000000
25,880.000000,-3520.000000
26,960.000000,-3520.000000
27,880.000000,-3520.000000
28,880.000000,-3520.000000
29,960.000000,-3520.000000
30,960.000000,-3520.000000
31,960.000000,-3520.000000
32,1040.000000,-3520.000000
33,960.000000,-3520.000000
34,960.000000,-3520.000000
35,960.000000,-3520.000000
36,960.000000,-3520.000000
37,960.000000,-3600.000000
38,960.000000,-3520.000000
39,960.000000,-3520.000000
40,960.000000,-3520.000000
41,960.000000,-3600.000000
42,960.000000,-3520.000000
43,960.000000,-3520.000000
44,960.000000,-3520.000000
45,960.000000,-3600.000000
46,960.000000,-3520.000000
47,960.000000,-3600.000000
48,1040.000000,-3520.000000
49,1040.000000,-3520.000000
50,1040.000000,-3520.000000
51,1040.000000,-3520.000000
52,1040.000000,-3520.000000
53,1040.000000,-3520.000000
54,1040.000000,-3520.000000
55,1040.000000,-3520.000000
56,1040.000000,-3520.000000
57,960.000000,-3520.000000
58,1040.000000,-3520.000000
59,1040.000000,-3520.000000
60,1040.000000,-3520.000000
61,1040.000000,-3520.000000
62,1040.000000,-3520.000000
63,1040.000000,-3520.000000
64,1040.000000,-3520.000000
65,1040.000000,-3520.000000
66,1040.000000,-3520.000000
67,1040.000000,-3520.000000
68,1040.000000,-3520.000000
69,1120.000000,-3520.000000
70,1120.000000,-3600.000000
