Channel              :,CH1,CH2
Frequency            :,4.225MHz,4.231MHz
Period               :,236.7ns,236.3ns
PK-PK                :,1.200V,8.080V
Probe attenuation    :,10X,10X
Voltage per ADC value:,5.000000mV,5.000000mV
Time interval        :,0.00200uS,0.00200uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,240.000000,-3520.000000
2,240.000000,-3520.000000
3,240.000000,-3520.000000
4,240.000000,-3520.000000
5,240.000000,-3520.000000
6,240.000000,-3520.000000
7,320.000000,-3520.000000
8,320.000000,-3520.000000
9,240.000000,-3520.000000
10,240.000000,-3520.000000
11,240.000000,-3520.000000
12,240.000000,-3520.000000
13,320.000000,-3520.000000
14,320.000000,-3520.000000
15,320.000000,-3600.000000
16,320.000000,-3520.000000
17,320.000000,-3600.000000
18,400.000000,-3520.000000
19,320.000000,-3520.000000
20,400.000000,-3440.000000
21,400.000000,-3280.000000
22,480.000000,-3040.000000
23,560.000000,-2640.000000
24,720.000000,-1920.000000
25,720.000000,-1200.000000
26,720.000000,-400.000000
27,720.000000,160.000000
28,800.000000,640.000000
29,880.000000,1040.000000
30,880.000000,1360.000000
31,960.000000,1680.000000
32,960.000000,2000.000000
33,960.000000,2320.000000
34,960.000000,2480.000000
35,1040.000000,2720.000000
36,1040.000000,2800.000000
37,1040.000000,2960.000000
38,1040.000000,3120.000000
39,1120.000000,3280.000000
40,1120.000000,3360.000000
41,1200.000000,3520.000000
42,1200.000000,3600.000000
43,1200.000000,3760.000000
44,1280.000000,3840.000000
45,1280.000000,3920.000000
46,1280.000000,4000.000000
47,1280.000000,4080.000000
48,1200.000000,4080.000000
49,1200.000000,4160.000000
50,1200.000000,4080.000000
51,1280.000000,4160.000000
52,1280.000000,4160.000000
53,1280.000000,4160.000000
54,1280.000000,4240.000000
55,1280.000000,4240.000000
56,1280.000000,4320.000000
57,1280.000000,4320.000000
58,1360.000000,4320.000000
59,1360.000000,4320.000000
60,1280.000000,4320.000000
61,1280.000000,4400.000000
62,1280.000000,4320.000000
63,1280.000000,4400.000000
64,1280.000000,4400.000000
65,1280.000000,4400.000000
66,1280.000000,4480.000000
67,1280.000000,4400.000000
68,1280.000000,4400.000000
69,1280.000000,4400.000000
70,1280.000000,4400.000000
71,1280.000000,4400.000000
72,1200.000000,4320.000000
73,1280.000000,4160.000000
74,1200.000000,4000.000000
75,1120.000000,3840.000000
76,1120.000000,3520.000000
77,1040.000000,3280.000000
78,1040.000000,2880.000000
79,1040.000000,2560.000000
80,960.000000,2240.000000
81,880.000000,1920.000000
82,880.000000,1520.000000
83,800.000000,1200.000000
84,880.000000,880.000000
85,800.000000,480.000000
86,720.000000,160.000000
87,720.000000,-160.000000
88,720.000000,-480.000000
89,640.000000,-800.000000
90,560.000000,-1120.000000
91,480.000000,-1360.000000
92,480.000000,-1760.000000
93,480.000000,-2000.000000
94,400.000000,-2240.000000
95,400.000000,-2480.000000
96,320.000000,-2800.000000
97,320.000000,-2960.000000
98,320.000000,-3120.000000
99,320.000000,-3360.000000
100,320.000000,-3440.000000
101,240.000000,-3520.000000
102,240.000000,-3520.000000
103,240.000000,-3520.000000
104,240.000000,-3520.000000
105,240.000000,-3520.000000
106,240.000000,-3520.000000
107,160.000000,-3520.000000
108,240.000000,-3520.000000
109,240.000000,-3520.000000
110,240.000000,-3440.000000
111,240.000000,-3520.000000
112,240.000000,-3520.000000
113,160.000000,-3520.000000
114,240.000000,-3520.000000
115,240.000000,-3520.000000
116,240.000000,-3520.000000
117,240.000000,-3600.000000
118,240.000000,-3520.000000
119,240.000000,-3520.000000
120,320.000000,-3520.000000
121,320.000000,-3520.000000
122,240.000000,-3520.000000
123,240.000000,-3520.000000
124,240.000000,-3520.000000
125,240.000000,-3520.000000
126,320.000000,-3520.000000
127,240.000000,-3600.000000
128,320.000000,-3520.000000
129,320.000000,-3520.000000
130,320.000000,-3520.000000
131,320.000000,-3600.000000
132,320.000000,-3520.000000
133,320.000000,-3520.000000
134,320.000000,-3520.000000
135,400.000000,-3520.000000
136,400.000000,-3360.000000
137,400.000000,-3280.000000
138,480.000000,-2960.000000
139,640.000000,-2400.000000
140,720.000000,-1760.000000
141,720.000000,-960.000000
142,720.000000,-240.000000
143,720.000000,320.000000
144,800.000000,720.000000
145,880.000000,1120.000000
146,960.000000,1440.000000
147,960.000000,1840.000000
148,960.000000,2080.000000
149,960.000000,2320.000000
150,960.000000,2480.000000
151,960.000000,2720.000000
152,1040.000000,2800.000000
153,1040.000000,3040.000000
154,1040.000000,3120.000000
155,1120.000000,3280.000000
156,1200.000000,3440.000000
157,1200.000000,3520.000000
158,1280.000000,3680.000000
159,1200.000000,3760.000000
160,1200.000000,3840.000000
161,1280.000000,4000.000000
162,1280.000000,4000.000000
163,1280.000000,4000.000000
164,1200.000000,4080.000000
165,1280.000000,4160.000000
166,1280.000000,4160.000000
167,1280.000000,4160.000000
168,1280.000000,4160.000000
169,1280.000000,4160.000000
170,1280.000000,4240.000000
171,1280.000000,4320.000000
172,1360.000000,4320.000000
173,1360.000000,4320.000000
174,1280.000000,4320.000000
175,1280.000000,4320.000000
176,1280.000000,4400.000000
177,1280.000000,4400.000000
178,1360.000000,4400.000000
179,1360.000000,4400.000000
180,1280.000000,4400.000000
181,1280.000000,4480.000000
182,1280.000000,4480.000000
183,1280.000000,4480.000000
184,1280.000000,4400.000000
185,1280.000000,4480.000000
186,1200.000000,4400.000000
187,1280.000000,4400.000000
188,1200.000000,4240.000000
189,1200.000000,4160.000000
190,1200.000000,3920.000000
191,1120.000000,3680.000000
192,1120.000000,3440.000000
193,1040.000000,3120.000000
194,1040.000000,2800.000000
195,1040.000000,2400.000000
196,960.000000,2080.000000
197,960.000000,1760.000000
198,880.000000,1440.000000
199,880.000000,1040.000000
200,800.000000,640.000000
201,800.000000,400.000000
202,720.000000,0.000000
203,720.000000,-320.000000
204,640.000000,-640.000000
205,560.000000,-960.000000
206,560.000000,-1280.000000
207,480.000000,-1600.000000
208,480.000000,-1920.000000
209,400.000000,-2160.000000
210,400.000000,-2400.000000
211,400.000000,-2640.000000
212,320.000000,-2880.000000
213,320.000000,-3120.000000
214,320.000000,-3200.000000
215,320.000000,-3360.000000
216,320.000000,-3440.000000
217,240.000000,-3520.000000
218,240.000000,-3520.000000
219,240.000000,-3520.000000
220,240.000000,-3520.000000
221,240.000000,-3520.000000
222,240.000000,-3440.000000
223,240.000000,-3440.000000
224,240.000000,-3440.000000
225,240.000000,-3520.000000
226,240.000000,-3440.000000
227,240.000000,-3520.000000
228,240.000000,-3520.000000
229,160.000000,-3520.000000
230,240.000000,-3520.000000
231,240.000000,-3520.000000
232,240.000000,-3520.000000
233,240.000000,-3520.000000
234,240.000000,-3520.000000
235,240.000000,-3520.000000
236,240.000000,-3520.000000
237,240.000000,-3520.000000
238,240.000000,-3520.000000
239,240.000000,-3600.000000
240,240.000000,-3520.000000
241,240.000000,-3600.000000
242,320.000000,-3520.000000
243,320.000000,-3520.000000
244,320.000000,-3520.000000
245,320.000000,-3520.000000
246,320.000000,-3520.000000
247,400.000000,-3520.000000
248,320.000000,-3520.000000
249,320.000000,-3520.000000
250,400.000000,-3520.000000
251,400.000000,-3520.000000
252,480.000000,-3360.000000
253,480.000000,-3200.000000
254,560.000000,-2800.000000
255,640.000000,-2240.000000
256,720.000000,-1520.000000
257,800.000000,-720.000000
258,720.000000,-160.000000
259,800.000000,400.000000
260,800.000000,880.000000
261,960.000000,1280.000000
262,960.000000,1520.000000
263,960.000000,1840.000000
264,960.000000,2160.000000
265,960.000000,2400.000000
266,960.000000,2640.000000
267,1040.000000,2720.000000
268,1040.000000,2880.000000
269,1040.000000,3120.000000
270,1040.000000,3280.000000
271,1120.000000,3360.000000
272,1200.000000,3440.000000
273,1280.000000,3520.000000
