Channel              :,CH1,CH2
Frequency            :,500.0Hz,500.0Hz
Period               :,2.000ms,2.000ms
PK-PK                :,7.040V,9.200V
Probe attenuation    :,10X,10X
Voltage per ADC value:,5.000000mV,5.000000mV
Time interval        :,1.00000uS,1.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,1680.000000,-3840.000000
2,1680.000000,-3840.000000
3,1680.000000,-3840.000000
4,1680.000000,-3840.000000
5,1680.000000,-3840.000000
6,1600.000000,-3840.000000
7,1520.000000,-3840.000000
8,1600.000000,-3840.000000
9,1600.000000,-3840.000000
10,1600.000000,-3840.000000
11,1600.000000,-3840.000000
12,1600.000000,-3840.000000
13,1600.000000,-3840.000000
14,1600.000000,-3840.000000
15,1600.000000,-3840.000000
16,1520.000000,-3840.000000
17,1520.000000,-3840.000000
18,1520.000000,-3840.000000
19,1520.000000,-3840.000000
20,1520.000000,-3840.000000
21,1520.000000,-3840.000000
22,1520.000000,-3840.000000
23,1520.000000,-3840.000000
24,1520.000000,-3840.000000
25,1440.000000,-3840.000000
26,1520.000000,-3840.000000
27,1440.000000,-3840.000000
28,1520.000000,-3840.000000
29,1440.000000,-3840.000000
30,1440.000000,-3840.000000
31,1520.000000,-3840.000000
32,1520.000000,-3840.000000
33,1440.000000,-3840.000000
34,1440.000000,-3840.000000
35,1440.000000,-3840.000000
36,1440.000000,-3840.000000
37,1440.000000,-3840.000000
38,1360.000000,-3840.000000
39,1440.000000,-3840.000000
40,1360.000000,-3840.000000
41,1440.000000,-3840.000000
42,1440.000000,-3840.000000
43,1360.000000,-3840.000000
44,1440.000000,-3840.000000
45,1360.000000,-3840.000000
46,1360.000000,-3840.000000
47,1360.000000,-3840.000000
48,1360.000000,-3840.000000
49,1360.000000,-3840.000000
50,1360.000000,-3840.000000
51,1360.000000,-3840.000000
52,1360.000000,-3840.000000
53,1280.000000,-3840.000000
54,1280.000000,-3840.000000
55,1280.000000,-3840.000000
56,1280.000000,-3840.000000
57,1280.000000,-3840.000000
58,1280.000000,-3840.000000
59,1280.000000,-3840.000000
60,1280.000000,-3840.000000
61,1280.000000,-3840.000000
62,1280.000000,-3840.000000
63,1280.000000,-3840.000000
64,1280.000000,-3840.000000
65,1200.000000,-3840.000000
66,1280.000000,-3840.000000
67,1200.000000,-3920.000000
