TimeUs,Ugen,Ur1,Uvd1
1,80.0,0.0,0.0
2,80.0,0.0,0.0
3,80.0,0.0,0.0
4,0.0,0.0,0.0
5,80.0,0.0,80.0
6,80.0,0.0,0.0
7,0.0,0.0,80.0
8,80.0,0.0,0.0
9,80.0,0.0,0.0
10,80.0,0.0,0.0
11,80.0,0.0,80.0
12,80.0,0.0,0.0
13,80.0,80.0,80.0
14,80.0,0.0,0.0
15,80.0,0.0,0.0
16,80.0,0.0,80.0
17,80.0,0.0,0.0
18,80.0,0.0,0.0
19,80.0,0.0,0.0
20,0.0,0.0,0.0
21,80.0,0.0,0.0
22,0.0,0.0,0.0
23,80.0,0.0,0.0
24,80.0,0.0,80.0
25,0.0,0.0,80.0
26,0.0,0.0,0.0
27,80.0,0.0,0.0
28,80.0,0.0,80.0
29,80.0,0.0,0.0
30,80.0,0.0,80.0
31,80.0,0.0,0.0
32,80.0,0.0,80.0
33,80.0,0.0,0.0
34,80.0,0.0,80.0
35,80.0,0.0,0.0
36,80.0,0.0,0.0
37,80.0,0.0,0.0
38,80.0,0.0,0.0
39,80.0,0.0,80.0
40,80.0,0.0,0.0
41,80.0,0.0,0.0
42,80.0,0.0,0.0
43,80.0,0.0,0.0
44,80.0,0.0,0.0
45,80.0,0.0,0.0
46,80.0,0.0,0.0
47,80.0,0.0,0.0
48,80.0,0.0,0.0
49,80.0,0.0,80.0
50,80.0,0.0,0.0
51,0.0,0.0,80.0
52,80.0,0.0,0.0
53,80.0,0.0,80.0
54,80.0,-80.0,0.0
55,0.0,0.0,0.0
56,80.0,0.0,80.0
57,80.0,0.0,0.0
58,80.0,0.0,0.0
59,80.0,0.0,0.0
60,80.0,0.0,80.0
61,80.0,0.0,0.0
62,80.0,0.0,0.0
63,80.0,0.0,0.0
64,80.0,0.0,80.0
65,80.0,80.0,0.0
66,80.0,0.0,0.0
67,80.0,0.0,0.0
68,80.0,80.0,0.0
69,80.0,0.0,0.0
70,80.0,0.0,0.0
71,80.0,0.0,0.0
72,80.0,0.0,0.0
73,80.0,0.0,80.0
74,80.0,0.0,0.0
75,80.0,0.0,0.0
76,80.0,0.0,0.0
77,80.0,0.0,0.0
78,80.0,0.0,80.0
79,80.0,0.0,0.0
80,80.0,0.0,80.0
81,80.0,0.0,0.0
82,80.0,0.0,0.0
83,0.0,0.0,0.0
84,80.0,0.0,80.0
85,80.0,0.0,80.0
86,80.0,0.0,80.0
87,80.0,0.0,80.0
88,80.0,0.0,0.0
89,80.0,0.0,0.0
90,80.0,0.0,0.0
91,80.0,0.0,0.0
92,80.0,0.0,0.0
93,0.0,0.0,80.0
94,80.0,0.0,0.0
95,80.0,0.0,0.0
96,80.0,0.0,0.0
97,80.0,0.0,0.0
98,80.0,0.0,0.0
99,0.0,0.0,0.0
100,80.0,0.0,0.0
101,80.0,0.0,0.0
102,80.0,0.0,0.0
103,80.0,0.0,0.0
104,80.0,0.0,0.0
105,80.0,0.0,80.0
106,80.0,0.0,0.0
107,80.0,0.0,0.0
108,80.0,0.0,0.0
109,0.0,0.0,0.0
110,80.0,0.0,0.0
111,80.0,0.0,80.0
112,80.0,0.0,0.0
113,80.0,0.0,0.0
114,80.0,0.0,0.0
115,80.0,0.0,80.0
116,80.0,0.0,0.0
117,80.0,0.0,0.0
118,80.0,0.0,0.0
119,80.0,0.0,0.0
120,80.0,80.0,0.0
121,0.0,0.0,80.0
122,0.0,0.0,0.0
123,80.0,0.0,0.0
124,80.0,0.0,0.0
125,80.0,0.0,80.0
126,80.0,0.0,0.0
127,80.0,0.0,80.0
128,80.0,0.0,0.0
129,80.0,0.0,80.0
130,0.0,0.0,0.0
131,80.0,0.0,0.0
132,0.0,0.0,0.0
133,80.0,0.0,0.0
134,80.0,0.0,0.0
135,80.0,0.0,0.0
136,80.0,0.0,0.0
137,80.0,0.0,0.0
138,80.0,0.0,80.0
139,0.0,0.0,80.0
140,80.0,0.0,0.0
141,80.0,0.0,0.0
142,80.0,0.0,0.0
143,80.0,0.0,0.0
144,80.0,0.0,0.0
145,80.0,0.0,0.0
146,80.0,0.0,0.0
147,0.0,0.0,0.0
148,80.0,0.0,0.0
149,0.0,0.0,0.0
150,80.0,0.0,0.0
151,80.0,0.0,0.0
152,80.0,0.0,0.0
153,80.0,0.0,80.0
154,80.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,80.0
157,80.0,0.0,0.0
158,80.0,0.0,0.0
159,80.0,0.0,0.0
160,80.0,0.0,80.0
161,80.0,0.0,0.0
162,80.0,0.0,0.0
163,80.0,0.0,80.0
164,80.0,0.0,0.0
165,80.0,0.0,80.0
166,80.0,0.0,0.0
167,80.0,0.0,0.0
168,80.0,0.0,0.0
169,80.0,0.0,0.0
170,0.0,0.0,0.0
171,80.0,0.0,0.0
172,0.0,-80.0,0.0
173,80.0,0.0,0.0
174,80.0,0.0,80.0
175,80.0,0.0,80.0
176,0.0,0.0,80.0
177,0.0,0.0,0.0
178,80.0,0.0,80.0
179,0.0,0.0,0.0
180,0.0,0.0,80.0
181,0.0,0.0,0.0
182,80.0,0.0,0.0
183,0.0,0.0,80.0
184,80.0,0.0,0.0
185,80.0,0.0,80.0
186,80.0,0.0,0.0
187,80.0,0.0,0.0
188,80.0,0.0,0.0
189,80.0,0.0,0.0
190,80.0,0.0,0.0
191,80.0,0.0,80.0
