Channel              :,CH1,CH2
Frequency            :,75.99kHz,75.99kHz
Period               :,13.160us,13.160us
PK-PK                :,8.000V,3.760V
Probe attenuation    :,10X,10X
Voltage per ADC value:,5.000000mV,5.000000mV
Time interval        :,0.00400uS,0.00400uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-80.000000,-160.000000
2,-80.000000,-160.000000
3,-80.000000,-160.000000
4,-80.000000,-160.000000
5,-80.000000,-160.000000
6,-160.000000,-160.000000
7,-80.000000,-160.000000
8,-80.000000,-160.000000
9,-80.000000,-160.000000
10,-80.000000,-80.000000
11,-160.000000,-80.000000
12,-80.000000,-80.000000
13,-80.000000,-160.000000
14,-80.000000,-160.000000
15,-80.000000,-160.000000
16,-80.000000,-160.000000
17,-160.000000,-160.000000
18,-80.000000,-80.000000
19,-80.000000,-160.000000
20,-160.000000,-160.000000
21,-80.000000,-80.000000
22,-80.000000,-80.000000
23,-80.000000,-160.000000
24,-80.000000,-160.000000
25,-80.000000,-160.000000
26,-160.000000,-160.000000
27,-80.000000,-80.000000
28,-80.000000,-160.000000
29,-80.000000,-160.000000
30,-80.000000,-80.000000
31,-80.000000,-160.000000
32,-80.000000,-160.000000
33,-80.000000,-80.000000
34,-160.000000,-160.000000
35,-80.000000,-160.000000
36,-80.000000,-80.000000
37,-80.000000,-160.000000
38,-80.000000,-80.000000
39,-80.000000,-160.000000
40,-80.000000,-160.000000
41,-80.000000,-80.000000
42,-80.000000,-160.000000
43,-80.000000,-80.000000
44,-80.000000,-160.000000
45,-160.000000,-80.000000
46,-80.000000,-80.000000
47,-80.000000,-80.000000
48,-80.000000,-160.000000
49,-80.000000,-160.000000
50,-80.000000,-160.000000
51,-80.000000,-160.000000
52,-80.000000,-160.000000
53,-80.000000,-160.000000
54,-80.000000,-160.000000
55,-160.000000,-80.000000
56,-80.000000,-160.000000
57,-160.000000,-160.000000
58,-80.000000,-80.000000
59,-160.000000,-160.000000
60,-80.000000,-160.000000
61,-80.000000,-160.000000
62,-80.000000,-160.000000
63,-80.000000,-80.000000
64,-80.000000,-160.000000
65,-80.000000,-160.000000
66,-80.000000,-80.000000
67,-80.000000,-160.000000
68,-80.000000,-160.000000
69,-80.000000,-80.000000
70,-80.000000,-80.000000
71,-80.000000,-80.000000
72,-80.000000,-80.000000
73,-80.000000,-80.000000
74,-80.000000,-160.000000
75,-80.000000,-80.000000
76,-80.000000,-160.000000
77,-160.000000,-160.000000
78,-80.000000,-160.000000
79,-160.000000,-160.000000
80,-160.000000,-160.000000
81,-80.000000,-160.000000
82,-160.000000,-80.000000
83,-80.000000,-80.000000
84,-80.000000,-160.000000
85,-160.000000,-80.000000
86,-80.000000,-160.000000
87,-80.000000,-160.000000
88,-80.000000,-160.000000
89,-160.000000,-160.000000
90,-80.000000,-80.000000
91,-160.000000,-160.000000
92,-80.000000,-160.000000
93,-80.000000,-160.000000
94,-80.000000,-160.000000
95,-80.000000,-160.000000
96,-80.000000,-160.000000
97,-80.000000,-160.000000
98,-160.000000,-160.000000
99,-80.000000,-160.000000
100,-80.000000,-160.000000
101,-80.000000,-160.000000
102,-80.000000,-160.000000
103,-80.000000,-160.000000
104,-80.000000,-80.000000
105,-80.000000,-80.000000
106,-80.000000,-80.000000
107,-80.000000,-160.000000
108,-160.000000,-80.000000
109,-160.000000,-80.000000
110,-80.000000,-160.000000
111,-80.000000,-80.000000
112,-80.000000,-160.000000
113,-80.000000,-160.000000
114,-160.000000,-160.000000
115,-160.000000,-160.000000
116,-80.000000,-160.000000
117,-80.000000,-160.000000
118,-80.000000,-80.000000
119,-80.000000,-160.000000
120,-80.000000,-160.000000
121,-80.000000,-160.000000
122,-160.000000,-160.000000
123,-160.000000,-160.000000
124,-160.000000,-160.000000
125,-80.000000,-80.000000
126,-80.000000,-160.000000
127,-80.000000,-160.000000
128,-160.000000,-80.000000
129,-160.000000,-160.000000
130,-160.000000,-160.000000
131,-80.000000,-80.000000
132,-80.000000,-80.000000
133,-80.000000,-160.000000
134,-80.000000,-160.000000
135,-80.000000,-160.000000
136,-160.000000,-160.000000
137,-160.000000,-160.000000
138,-80.000000,-160.000000
139,-80.000000,-160.000000
140,-160.000000,-160.000000
141,-80.000000,-160.000000
142,-80.000000,-160.000000
143,-160.000000,-160.000000
144,-80.000000,-80.000000
145,-160.000000,-80.000000
146,-160.000000,-80.000000
147,-160.000000,-160.000000
148,-160.000000,-80.000000
149,-80.000000,-80.000000
150,-80.000000,-160.000000
151,-80.000000,-160.000000
152,-80.000000,-160.000000
153,-80.000000,-160.000000
154,-160.000000,-160.000000
155,-80.000000,-160.000000
156,-80.000000,-160.000000
157,-80.000000,-160.000000
158,-80.000000,-80.000000
159,-80.000000,-160.000000
160,-160.000000,-160.000000
161,-160.000000,-160.000000
162,-160.000000,-160.000000
163,-80.000000,-80.000000
164,-80.000000,-160.000000
165,-80.000000,-160.000000
166,-160.000000,-160.000000
167,-80.000000,-160.000000
168,-80.000000,-160.000000
169,-80.000000,-160.000000
170,-160.000000,-80.000000
171,-80.000000,-160.000000
172,-80.000000,-160.000000
173,-80.000000,-160.000000
174,-80.000000,-160.000000
175,-80.000000,-160.000000
176,-80.000000,-160.000000
177,-160.000000,-80.000000
178,-80.000000,-80.000000
179,-80.000000,-160.000000
180,-160.000000,-160.000000
181,-80.000000,-160.000000
182,-80.000000,-160.000000
183,-160.000000,-160.000000
184,-160.000000,-160.000000
185,-80.000000,-160.000000
186,-160.000000,-160.000000
187,-80.000000,-160.000000
188,-160.000000,-160.000000
189,-80.000000,-160.000000
190,-160.000000,-160.000000
191,-160.000000,-160.000000
192,-160.000000,-160.000000
193,-160.000000,-160.000000
194,-80.000000,-160.000000
195,-80.000000,-80.000000
196,-80.000000,-80.000000
197,-80.000000,-160.000000
198,-80.000000,-160.000000
199,-160.000000,-160.000000
200,-80.000000,-80.000000
201,-80.000000,-160.000000
202,-80.000000,-80.000000
203,-80.000000,-80.000000
204,-80.000000,-80.000000
205,-80.000000,-80.000000
206,-80.000000,-160.000000
207,-80.000000,-160.000000
208,-80.000000,-160.000000
209,-160.000000,-80.000000
210,-160.000000,-80.000000
211,-80.000000,-160.000000
212,-80.000000,-160.000000
213,-80.000000,-160.000000
214,-80.000000,-80.000000
215,-80.000000,-80.000000
216,-80.000000,-80.000000
217,-160.000000,-160.000000
218,-160.000000,-80.000000
219,-160.000000,-80.000000
220,-160.000000,-80.000000
221,-160.000000,-160.000000
222,-160.000000,-80.000000
223,-80.000000,-160.000000
224,-160.000000,-80.000000
225,-160.000000,-80.000000
226,-160.000000,-160.000000
227,-80.000000,-160.000000
228,-80.000000,-160.000000
229,-160.000000,-160.000000
230,-160.000000,-160.000000
231,-160.000000,-160.000000
232,-160.000000,-160.000000
233,-80.000000,-160.000000
234,-80.000000,-160.000000
235,-80.000000,-80.000000
236,-160.000000,-160.000000
237,-80.000000,-160.000000
238,-160.000000,-160.000000
239,-80.000000,-160.000000
240,-80.000000,-160.000000
241,-160.000000,-160.000000
242,-160.000000,-160.000000
243,-80.000000,-160.000000
244,-80.000000,-160.000000
245,-80.000000,-160.000000
246,-160.000000,-160.000000
247,-160.000000,-160.000000
248,-80.000000,-160.000000
249,-80.000000,-160.000000
250,-80.000000,-160.000000
251,-160.000000,-80.000000
252,-160.000000,-160.000000
253,-80.000000,-160.000000
254,-80.000000,-160.000000
255,-80.000000,-160.000000
256,-160.000000,-160.000000
257,-160.000000,-160.000000
258,-160.000000,-160.000000
259,-160.000000,-160.000000
260,-80.000000,-160.000000
261,-160.000000,-160.000000
262,-160.000000,-80.000000
263,-160.000000,-160.000000
264,-160.000000,-160.000000
265,-80.000000,-160.000000
266,-160.000000,-160.000000
267,-160.000000,-160.000000
268,-160.000000,-160.000000
269,-80.000000,-160.000000
270,-80.000000,-160.000000
271,-80.000000,-160.000000
272,-80.000000,-80.000000
273,-80.000000,-80.000000
274,-80.000000,-80.000000
275,-160.000000,-80.000000
276,-80.000000,-80.000000
277,-160.000000,-160.000000
278,-80.000000,-160.000000
279,-160.000000,-80.000000
280,-160.000000,-160.000000
281,-160.000000,-160.000000
282,-160.000000,-160.000000
283,-80.000000,-160.000000
284,-80.000000,-160.000000
285,-80.000000,-160.000000
286,-80.000000,-160.000000
287,-160.000000,-160.000000
288,-80.000000,-160.000000
289,-80.000000,-160.000000
290,-80.000000,-160.000000
291,-160.000000,-160.000000
292,-160.000000,-160.000000
293,-80.000000,-80.000000
294,-80.000000,-160.000000
295,-160.000000,-160.000000
296,-80.000000,-80.000000
297,-160.000000,-160.000000
298,-160.000000,-160.000000
299,-80.000000,-160.000000
300,-80.000000,-160.000000
301,-80.000000,-160.000000
302,-80.000000,-160.000000
303,-80.000000,-160.000000
304,-160.000000,-80.000000
305,-160.000000,-80.000000
306,-80.000000,-80.000000
307,-160.000000,-160.000000
308,-80.000000,-160.000000
309,-80.000000,-80.000000
310,-160.000000,-80.000000
311,-80.000000,-80.000000
312,-80.000000,-160.000000
313,-160.000000,-80.000000
314,-160.000000,-80.000000
315,-160.000000,-80.000000
316,-80.000000,-160.000000
317,-160.000000,-160.000000
318,-80.000000,-160.000000
319,-80.000000,-160.000000
320,-160.000000,-160.000000
321,-160.000000,-160.000000
322,-160.000000,-160.000000
323,-80.000000,-160.000000
324,-80.000000,-160.000000
325,-80.000000,-160.000000
326,-160.000000,-160.000000
327,-80.000000,-160.000000
328,-160.000000,-160.000000
329,-80.000000,-160.000000
330,-80.000000,-160.000000
331,-160.000000,-80.000000
332,-80.000000,-160.000000
333,-80.000000,-160.000000
334,-160.000000,-80.000000
335,-160.000000,-160.000000
336,-160.000000,-80.000000
337,-80.000000,-160.000000
338,-80.000000,-160.000000
339,-80.000000,-80.000000
340,-80.000000,-80.000000
341,-80.000000,-160.000000
342,-80.000000,-160.000000
343,-80.000000,-80.000000
344,-160.000000,-80.000000
345,-80.000000,-160.000000
346,-160.000000,-160.000000
347,-160.000000,-80.000000
348,-80.000000,-80.000000
349,-160.000000,-80.000000
350,-160.000000,-80.000000
351,-160.000000,-80.000000
352,-160.000000,-160.000000
353,-160.000000,-160.000000
354,-80.000000,-160.000000
355,-80.000000,-160.000000
356,-160.000000,-80.000000
357,-160.000000,-160.000000
358,-80.000000,-160.000000
359,-80.000000,-160.000000
360,-80.000000,-160.000000
361,-80.000000,-160.000000
362,-80.000000,-160.000000
363,-80.000000,-80.000000
364,-80.000000,-160.000000
365,-80.000000,-160.000000
366,-160.000000,-160.000000
367,-80.000000,-80.000000
368,-80.000000,-160.000000
369,-160.000000,-160.000000
370,-80.000000,-160.000000
371,-160.000000,-160.000000
372,-160.000000,-160.000000
373,-160.000000,-160.000000
374,-80.000000,-160.000000
375,-80.000000,-160.000000
376,-160.000000,-160.000000
377,-80.000000,-80.000000
378,-80.000000,-80.000000
379,-80.000000,-80.000000
380,-160.000000,-160.000000
381,-80.000000,-160.000000
382,-80.000000,-80.000000
383,-160.000000,-160.000000
384,-160.000000,-160.000000
385,-160.000000,-160.000000
386,-80.000000,-80.000000
387,-160.000000,-160.000000
388,-80.000000,-160.000000
389,-160.000000,-160.000000
390,-160.000000,-160.000000
391,-80.000000,-160.000000
392,-160.000000,-160.000000
393,-80.000000,-160.000000
394,-160.000000,-160.000000
395,-80.000000,-160.000000
396,-160.000000,-160.000000
397,-160.000000,-160.000000
398,-160.000000,-160.000000
399,-160.000000,-80.000000
400,-80.000000,-160.000000
401,-160.000000,-160.000000
402,-80.000000,-160.000000
403,-160.000000,-160.000000
404,-80.000000,-160.000000
405,-80.000000,-160.000000
406,-160.000000,-160.000000
407,-80.000000,-160.000000
408,-80.000000,-160.000000
409,-80.000000,-160.000000
410,-160.000000,-160.000000
411,-80.000000,-160.000000
412,-80.000000,-160.000000
413,-160.000000,-160.000000
414,-80.000000,-160.000000
415,-160.000000,-80.000000
416,-160.000000,-80.000000
417,-160.000000,-160.000000
418,-80.000000,-160.000000
419,-80.000000,-160.000000
420,-160.000000,-80.000000
421,-80.000000,-80.000000
422,-80.000000,-160.000000
423,-160.000000,-160.000000
424,-160.000000,-160.000000
425,-160.000000,-160.000000
426,-80.000000,-160.000000
427,-160.000000,-160.000000
428,-80.000000,-160.000000
429,-80.000000,-160.000000
430,-80.000000,-80.000000
431,-80.000000,-80.000000
432,-80.000000,-160.000000
433,-80.000000,-160.000000
434,-80.000000,-80.000000
435,-80.000000,-80.000000
436,-160.000000,-80.000000
437,-80.000000,-160.000000
438,-80.000000,-80.000000
439,-80.000000,-160.000000
440,-80.000000,-160.000000
441,-80.000000,-160.000000
442,-80.000000,-160.000000
443,-80.000000,-160.000000
444,-160.000000,-160.000000
445,-80.000000,-80.000000
446,-160.000000,-160.000000
447,-160.000000,-160.000000
448,-80.000000,-80.000000
449,-160.000000,-160.000000
450,-160.000000,-160.000000
451,-80.000000,-160.000000
452,-80.000000,-160.000000
453,-80.000000,-160.000000
454,-80.000000,-160.000000
455,-160.000000,-160.000000
456,-80.000000,-80.000000
457,-80.000000,-80.000000
458,-80.000000,-160.000000
459,-80.000000,-160.000000
460,-160.000000,-160.000000
461,-80.000000,-160.000000
462,-80.000000,-160.000000
463,-80.000000,-160.000000
464,-160.000000,-160.000000
465,-80.000000,-160.000000
466,-80.000000,-160.000000
467,-160.000000,-160.000000
468,-80.000000,-160.000000
469,-80.000000,-80.000000
470,-80.000000,-80.000000
471,-80.000000,-80.000000
472,-160.000000,-160.000000
473,-80.000000,-80.000000
474,-80.000000,-80.000000
475,-80.000000,-160.000000
476,-80.000000,-80.000000
477,-80.000000,-80.000000
478,-80.000000,-80.000000
479,-80.000000,-80.000000
480,-80.000000,-160.000000
481,-160.000000,-160.000000
482,-160.000000,-160.000000
483,-160.000000,-160.000000
484,-160.000000,-160.000000
485,-80.000000,-160.000000
486,-80.000000,-80.000000
487,-80.000000,-80.000000
488,-80.000000,-80.000000
489,-160.000000,-160.000000
490,-80.000000,-80.000000
491,-80.000000,-80.000000
492,-160.000000,-160.000000
493,-80.000000,-160.000000
494,-160.000000,-160.000000
495,-80.000000,-160.000000
496,-80.000000,-160.000000
497,-80.000000,-160.000000
498,-80.000000,-80.000000
499,-80.000000,-80.000000
500,-80.000000,-80.000000
501,-80.000000,-160.000000
502,-160.000000,-160.000000
503,-160.000000,-160.000000
504,-80.000000,-80.000000
505,-80.000000,-160.000000
506,-160.000000,-160.000000
507,-80.000000,-160.000000
508,-160.000000,-160.000000
509,-80.000000,-160.000000
510,-80.000000,-160.000000
511,-80.000000,-160.000000
512,-80.000000,-160.000000
513,-160.000000,-80.000000
514,-160.000000,-160.000000
515,-80.000000,-80.000000
516,-160.000000,-160.000000
517,-80.000000,-160.000000
518,-160.000000,-160.000000
519,-80.000000,-80.000000
520,-80.000000,-80.000000
521,-80.000000,-160.000000
522,-80.000000,-160.000000
523,-80.000000,-160.000000
524,-80.000000,-80.000000
525,-160.000000,-80.000000
526,-160.000000,-160.000000
527,-80.000000,-160.000000
528,-80.000000,-160.000000
529,-80.000000,-80.000000
530,-160.000000,-80.000000
531,-80.000000,-160.000000
532,-80.000000,-160.000000
533,-160.000000,-160.000000
534,-80.000000,-160.000000
535,-80.000000,-160.000000
536,-80.000000,-80.000000
537,-80.000000,-160.000000
538,-80.000000,-80.000000
539,-80.000000,-160.000000
540,-80.000000,-80.000000
541,-80.000000,-160.000000
542,-80.000000,-160.000000
543,-80.000000,-160.000000
544,-80.000000,-160.000000
545,-160.000000,-160.000000
546,-80.000000,-160.000000
547,-80.000000,-80.000000
548,-160.000000,-160.000000
549,-160.000000,-160.000000
550,-160.000000,-160.000000
551,-80.000000,-80.000000
552,-80.000000,-80.000000
553,-80.000000,-160.000000
554,-80.000000,-160.000000
555,-80.000000,-160.000000
556,-80.000000,-160.000000
557,-80.000000,-160.000000
558,-160.000000,-160.000000
559,-80.000000,-160.000000
560,-80.000000,-160.000000
561,-160.000000,-80.000000
562,-80.000000,-160.000000
563,-80.000000,-80.000000
564,-80.000000,-160.000000
565,-80.000000,-160.000000
566,-80.000000,-80.000000
567,-160.000000,-160.000000
568,-160.000000,-160.000000
