Channel              :,CH1,CH2
Frequency            :,601.5Hz,599.7Hz
Period               :,1.663ms,1.668ms
PK-PK                :,3.520V,3.120V
Probe attenuation    :,10X,10X
Voltage per ADC value:,5.000000mV,5.000000mV
Time interval        :,1.00000uS,1.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-480.000000,-1040.000000
2,-480.000000,-1040.000000
3,-480.000000,-1040.000000
4,-400.000000,-1040.000000
5,-480.000000,-1040.000000
6,-480.000000,-960.000000
7,-400.000000,-1040.000000
8,-400.000000,-1040.000000
9,-400.000000,-1040.000000
10,-400.000000,-1040.000000
11,-400.000000,-960.000000
12,-400.000000,-960.000000
13,-400.000000,-960.000000
14,-480.000000,-1040.000000
15,-320.000000,-1040.000000
16,-320.000000,-960.000000
17,-400.000000,-960.000000
18,-320.000000,-960.000000
19,-320.000000,-960.000000
20,-400.000000,-960.000000
21,-320.000000,-960.000000
22,-240.000000,-960.000000
23,-240.000000,-960.000000
24,-320.000000,-960.000000
25,-320.000000,-880.000000
26,-240.000000,-960.000000
27,-240.000000,-960.000000
28,-240.000000,-960.000000
29,-240.000000,-960.000000
30,-240.000000,-880.000000
31,-240.000000,-880.000000
32,-240.000000,-960.000000
33,-240.000000,-880.000000
34,-160.000000,-880.000000
35,-160.000000,-880.000000
36,-160.000000,-880.000000
37,-160.000000,-960.000000
38,-160.000000,-960.000000
39,-160.000000,-880.000000
40,-160.000000,-960.000000
41,-80.000000,-880.000000
42,-80.000000,-880.000000
43,-160.000000,-880.000000
44,-80.000000,-880.000000
45,-80.000000,-880.000000
46,-80.000000,-880.000000
47,-80.000000,-880.000000
48,-80.000000,-880.000000
49,-80.000000,-880.000000
50,-80.000000,-960.000000
51,0.000000,-960.000000
52,-80.000000,-960.000000
53,-80.000000,-880.000000
54,-80.000000,-880.000000
55,0.000000,-880.000000
56,0.000000,-880.000000
57,0.000000,-880.000000
58,0.000000,-880.000000
59,0.000000,-880.000000
60,0.000000,-880.000000
61,0.000000,-880.000000
62,0.000000,-880.000000
63,-80.000000,-880.000000
64,0.000000,-960.000000
65,0.000000,-960.000000
66,0.000000,-880.000000
67,80.000000,-880.000000
68,80.000000,-880.000000
69,0.000000,-880.000000
70,80.000000,-880.000000
71,0.000000,-880.000000
72,80.000000,-880.000000
73,80.000000,-880.000000
74,80.000000,-880.000000
75,80.000000,-880.000000
76,80.000000,-880.000000
77,80.000000,-880.000000
78,80.000000,-880.000000
79,160.000000,-880.000000
80,160.000000,-880.000000
81,160.000000,-880.000000
82,80.000000,-880.000000
83,160.000000,-880.000000
84,160.000000,-880.000000
85,160.000000,-880.000000
86,160.000000,-880.000000
87,80.000000,-880.000000
