Channel              :,CH1,CH2
Frequency            :,599.7Hz,599.7Hz
Period               :,1.668ms,1.668ms
PK-PK                :,5.040V,3.120V
Probe attenuation    :,10X,10X
Voltage per ADC value:,5.000000mV,5.000000mV
Time interval        :,1.00000uS,1.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,2080.000000,1520.000000
2,2080.000000,1520.000000
3,2080.000000,1520.000000
4,2080.000000,1600.000000
5,2080.000000,1600.000000
6,2080.000000,1520.000000
7,2160.000000,1520.000000
8,2160.000000,1600.000000
9,2160.000000,1600.000000
10,2160.000000,1520.000000
11,2160.000000,1520.000000
12,2160.000000,1520.000000
13,2160.000000,1600.000000
14,2160.000000,1600.000000
15,2160.000000,1600.000000
16,2160.000000,1600.000000
17,2240.000000,1600.000000
18,2160.000000,1600.000000
19,2160.000000,1600.000000
20,2240.000000,1600.000000
21,2240.000000,1600.000000
22,2240.000000,1600.000000
23,2240.000000,1600.000000
24,2240.000000,1680.000000
25,2240.000000,1680.000000
26,2240.000000,1600.000000
27,2240.000000,1680.000000
28,2240.000000,1680.000000
29,2240.000000,1680.000000
30,2320.000000,1680.000000
31,2240.000000,1680.000000
32,2240.000000,1680.000000
33,2320.000000,1680.000000
34,2320.000000,1680.000000
35,2320.000000,1680.000000
36,2320.000000,1680.000000
37,2320.000000,1680.000000
38,2320.000000,1680.000000
39,2320.000000,1680.000000
40,2320.000000,1680.000000
41,2320.000000,1760.000000
42,2320.000000,1680.000000
43,2320.000000,1680.000000
44,2400.000000,1680.000000
45,2320.000000,1760.000000
46,2400.000000,1680.000000
47,2400.000000,1680.000000
48,2400.000000,1760.000000
49,2400.000000,1760.000000
50,2400.000000,1760.000000
51,2400.000000,1760.000000
52,2400.000000,1680.000000
53,2400.000000,1760.000000
54,2480.000000,1760.000000
55,2400.000000,1760.000000
56,2400.000000,1760.000000
57,2480.000000,1760.000000
58,2400.000000,1760.000000
59,2480.000000,1760.000000
60,2480.000000,1760.000000
61,2480.000000,1840.000000
62,2480.000000,1760.000000
63,2480.000000,1760.000000
64,2480.000000,1840.000000
65,2480.000000,1760.000000
66,2480.000000,1760.000000
67,2560.000000,1840.000000
68,2560.000000,1760.000000
69,2560.000000,1840.000000
70,2480.000000,1840.000000
71,2480.000000,1840.000000
72,2560.000000,1840.000000
73,2560.000000,1760.000000
74,2560.000000,1840.000000
75,2560.000000,1840.000000
76,2560.000000,1840.000000
77,2560.000000,1920.000000
78,2560.000000,1840.000000
79,2560.000000,1840.000000
80,2560.000000,1840.000000
81,2560.000000,1840.000000
82,2560.000000,1840.000000
83,2640.000000,1840.000000
84,2640.000000,1840.000000
85,2640.000000,1840.000000
86,2560.000000,1840.000000
87,2640.000000,1840.000000
88,2640.000000,1840.000000
89,2640.000000,1920.000000
90,2640.000000,1840.000000
91,2640.000000,1920.000000
92,2640.000000,1840.000000
93,2640.000000,1840.000000
94,2640.000000,1920.000000
95,2640.000000,1920.000000
96,2640.000000,1840.000000
97,2640.000000,1920.000000
98,2640.000000,1920.000000
99,2720.000000,1840.000000
100,2720.000000,1920.000000
101,2720.000000,1920.000000
102,2720.000000,1920.000000
103,2640.000000,1920.000000
104,2720.000000,1920.000000
105,2720.000000,1920.000000
106,2720.000000,1920.000000
107,2720.000000,1920.000000
108,2720.000000,1920.000000
109,2720.000000,1920.000000
110,2720.000000,1920.000000
111,2800.000000,1920.000000
112,2800.000000,1840.000000
113,2720.000000,1920.000000
114,2800.000000,1920.000000
115,2800.000000,1920.000000
116,2800.000000,1920.000000
117,2720.000000,1920.000000
118,2800.000000,1920.000000
119,2800.000000,1920.000000
120,2800.000000,1920.000000
121,2800.000000,1920.000000
122,2800.000000,1920.000000
123,2800.000000,2000.000000
124,2800.000000,1920.000000
125,2880.000000,1920.000000
126,2800.000000,1920.000000
127,2800.000000,1920.000000
128,2880.000000,1920.000000
129,2800.000000,1920.000000
130,2880.000000,1920.000000
131,2880.000000,1920.000000
132,2880.000000,1920.000000
133,2880.000000,1920.000000
134,2880.000000,1920.000000
135,2880.000000,1920.000000
136,2880.000000,1920.000000
137,2880.000000,2000.000000
138,2880.000000,2000.000000
139,2960.000000,1920.000000
140,2880.000000,1920.000000
141,2880.000000,2000.000000
142,2880.000000,2000.000000
143,2880.000000,2000.000000
144,2880.000000,1920.000000
145,2960.000000,1920.000000
146,2880.000000,1920.000000
147,2880.000000,2000.000000
148,2960.000000,1920.000000
149,2960.000000,2000.000000
150,2960.000000,2000.000000
151,2960.000000,2000.000000
152,2960.000000,2000.000000
153,2960.000000,1920.000000
154,2960.000000,1920.000000
155,2960.000000,1920.000000
156,2960.000000,2000.000000
157,3040.000000,2000.000000
158,3040.000000,2000.000000
159,3040.000000,1920.000000
160,2960.000000,2000.000000
161,3040.000000,2000.000000
162,3040.000000,2000.000000
163,3040.000000,2000.000000
164,3040.000000,2000.000000
165,3040.000000,2000.000000
166,3040.000000,1920.000000
167,3040.000000,1920.000000
168,3040.000000,2000.000000
169,3040.000000,2000.000000
170,3040.000000,2000.000000
171,3040.000000,2000.000000
172,3120.000000,2000.000000
173,3120.000000,2000.000000
174,3120.000000,2000.000000
175,3040.000000,2000.000000
176,3120.000000,2000.000000
177,3120.000000,2000.000000
178,3120.000000,2000.000000
179,3120.000000,2000.000000
180,3120.000000,2000.000000
181,3120.000000,2000.000000
182,3120.000000,2000.000000
183,3120.000000,2000.000000
184,3120.000000,2000.000000
185,3120.000000,2000.000000
186,3200.000000,2000.000000
187,3200.000000,2000.000000
188,3120.000000,2000.000000
189,3200.000000,2080.000000
190,3200.000000,2000.000000
191,3200.000000,2000.000000
192,3280.000000,2000.000000
193,3200.000000,2000.000000
194,3200.000000,2000.000000
195,3200.000000,2000.000000
196,3280.000000,2080.000000
197,3200.000000,2000.000000
198,3280.000000,2000.000000
199,3280.000000,2000.000000
200,3200.000000,2000.000000
201,3280.000000,2000.000000
202,3200.000000,2000.000000
203,3280.000000,2000.000000
204,3280.000000,2000.000000
205,3280.000000,2000.000000
206,3280.000000,2000.000000
207,3280.000000,2000.000000
208,3280.000000,2000.000000
209,3360.000000,2000.000000
210,3360.000000,2000.000000
211,3360.000000,2000.000000
212,3360.000000,2080.000000
213,3360.000000,2000.000000
214,3280.000000,2000.000000
215,3280.000000,2000.000000
216,3360.000000,2000.000000
217,3360.000000,2000.000000
218,3360.000000,2080.000000
219,3360.000000,2000.000000
220,3360.000000,2080.000000
221,3360.000000,2000.000000
222,3360.000000,2000.000000
223,3360.000000,2080.000000
224,3440.000000,2080.000000
225,3360.000000,2000.000000
226,3440.000000,2000.000000
227,3440.000000,2000.000000
228,3440.000000,2080.000000
229,3440.000000,2000.000000
230,3440.000000,2000.000000
231,3440.000000,2000.000000
232,3440.000000,2000.000000
233,3440.000000,2000.000000
234,3440.000000,1920.000000
235,3440.000000,2080.000000
236,3520.000000,2000.000000
237,3440.000000,2000.000000
238,3520.000000,2080.000000
239,3520.000000,2000.000000
240,3440.000000,2080.000000
241,3520.000000,2000.000000
242,3520.000000,2080.000000
243,3520.000000,2080.000000
244,3520.000000,2080.000000
245,3520.000000,2000.000000
246,3520.000000,2080.000000
247,3520.000000,2000.000000
248,3600.000000,2080.000000
249,3520.000000,2080.000000
250,3600.000000,2080.000000
251,3520.000000,2000.000000
252,3520.000000,2000.000000
253,3520.000000,2000.000000
254,3520.000000,2080.000000
255,3600.000000,2000.000000
256,3600.000000,2000.000000
257,3600.000000,2080.000000
258,3600.000000,2000.000000
259,3600.000000,2080.000000
260,3600.000000,2000.000000
261,3600.000000,2000.000000
262,3680.000000,2080.000000
263,3600.000000,2080.000000
264,3680.000000,2080.000000
265,3600.000000,2000.000000
266,3600.000000,2080.000000
267,3680.000000,2080.000000
268,3680.000000,2080.000000
269,3680.000000,2080.000000
270,3680.000000,2080.000000
271,3680.000000,2080.000000
272,3680.000000,2080.000000
273,3680.000000,2080.000000
274,3680.000000,2080.000000
275,3760.000000,2080.000000
276,3760.000000,2080.000000
277,3680.000000,2080.000000
278,3680.000000,2160.000000
279,3680.000000,2080.000000
280,3760.000000,2080.000000
281,3760.000000,2080.000000
282,3760.000000,2080.000000
283,3760.000000,2160.000000
284,3760.000000,2160.000000
285,3760.000000,2080.000000
286,3760.000000,2160.000000
287,3760.000000,2160.000000
288,3840.000000,2160.000000
289,3760.000000,2160.000000
290,3840.000000,2160.000000
291,3760.000000,2240.000000
292,3840.000000,2240.000000
293,3840.000000,2240.000000
294,3840.000000,2240.000000
295,3840.000000,2240.000000
