Channel              :,CH1,CH2
Frequency            :,603.3Hz,602.4Hz
Period               :,1.658ms,1.660ms
PK-PK                :,2.640V,3.440V
Probe attenuation    :,10X,10X
Voltage per ADC value:,5.000000mV,5.000000mV
Time interval        :,1.00000uS,1.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-720.000000,-880.000000
2,-720.000000,-880.000000
3,-720.000000,-960.000000
4,-720.000000,-880.000000
5,-720.000000,-880.000000
6,-720.000000,-880.000000
7,-640.000000,-880.000000
8,-640.000000,-880.000000
9,-640.000000,-880.000000
10,-640.000000,-880.000000
11,-640.000000,-880.000000
12,-640.000000,-800.000000
13,-640.000000,-880.000000
14,-640.000000,-880.000000
15,-640.000000,-880.000000
16,-640.000000,-880.000000
17,-560.000000,-880.000000
18,-560.000000,-880.000000
19,-560.000000,-800.000000
20,-560.000000,-800.000000
21,-560.000000,-880.000000
22,-560.000000,-880.000000
23,-560.000000,-800.000000
24,-560.000000,-800.000000
25,-560.000000,-800.000000
26,-560.000000,-880.000000
27,-480.000000,-800.000000
28,-480.000000,-800.000000
29,-480.000000,-800.000000
30,-480.000000,-800.000000
31,-480.000000,-800.000000
32,-480.000000,-800.000000
33,-480.000000,-800.000000
34,-400.000000,-800.000000
35,-480.000000,-800.000000
36,-400.000000,-800.000000
37,-400.000000,-800.000000
38,-400.000000,-800.000000
39,-400.000000,-800.000000
40,-400.000000,-800.000000
41,-400.000000,-800.000000
42,-400.000000,-800.000000
43,-320.000000,-800.000000
44,-320.000000,-800.000000
45,-400.000000,-720.000000
46,-320.000000,-720.000000
47,-240.000000,-800.000000
48,-320.000000,-800.000000
49,-240.000000,-800.000000
50,-320.000000,-720.000000
51,-320.000000,-720.000000
52,-320.000000,-720.000000
53,-320.000000,-800.000000
54,-240.000000,-800.000000
55,-240.000000,-720.000000
56,-240.000000,-720.000000
57,-240.000000,-800.000000
58,-240.000000,-720.000000
59,-240.000000,-720.000000
60,-240.000000,-720.000000
61,-240.000000,-720.000000
62,-240.000000,-720.000000
63,-240.000000,-720.000000
64,-240.000000,-720.000000
65,-160.000000,-720.000000
66,-80.000000,-720.000000
67,-160.000000,-640.000000
68,-160.000000,-720.000000
69,-160.000000,-720.000000
70,-160.000000,-800.000000
71,-160.000000,-720.000000
72,-160.000000,-720.000000
73,-160.000000,-720.000000
74,-80.000000,-720.000000
75,-80.000000,-720.000000
76,-80.000000,-720.000000
77,-80.000000,-720.000000
78,-80.000000,-720.000000
79,-80.000000,-720.000000
80,-80.000000,-720.000000
81,-80.000000,-720.000000
82,-80.000000,-720.000000
83,-80.000000,-720.000000
84,0.000000,-720.000000
85,-80.000000,-720.000000
86,0.000000,-720.000000
87,0.000000,-720.000000
