index,Rg_Voltage(mV)(Ch1_Ch2),Gen_Voltage(mV)(Ch2),GS_Voltage(mV)(Ch2),Rn_Voltage(mV)(Ch3),DS_Voltage(mV)(Ch4),Rg_Voltage(mV)(Ch1_Ch2_no_Un),GS_Voltage(mV)(Ch1_Ch2_no_Un)
1,1520.0,5040.0,3680.0,8560.0,80.0,1280.0,3680.0
2,1520.0,5040.0,3680.0,8560.0,80.0,1280.0,3680.0
3,1520.0,5120.0,3760.0,8560.0,80.0,1280.0,3680.0
4,1520.0,5040.0,3760.0,8560.0,80.0,1280.0,3680.0
5,1520.0,5040.0,3680.0,8560.0,80.0,1280.0,3680.0
6,1440.0,5040.0,3760.0,8560.0,160.0,1280.0,3680.0
7,1440.0,5040.0,3680.0,8560.0,0.0,1280.0,3680.0
8,1360.0,5040.0,3680.0,8560.0,0.0,1200.0,3680.0
9,1440.0,5040.0,3760.0,8560.0,0.0,1200.0,3680.0
10,1360.0,5040.0,3760.0,8560.0,80.0,1200.0,3760.0
11,1440.0,5040.0,3760.0,8560.0,80.0,1200.0,3680.0
12,1440.0,4960.0,3760.0,8560.0,80.0,1200.0,3760.0
13,1360.0,4960.0,3760.0,8560.0,80.0,1200.0,3680.0
14,1360.0,4960.0,3760.0,8560.0,0.0,1120.0,3680.0
15,1360.0,5040.0,3760.0,8560.0,80.0,1120.0,3760.0
16,1360.0,4960.0,3760.0,8560.0,80.0,1120.0,3760.0
17,1280.0,4960.0,3760.0,8560.0,80.0,1200.0,3680.0
18,1360.0,4960.0,3760.0,8560.0,80.0,1200.0,3760.0
19,1280.0,4960.0,3840.0,8560.0,0.0,1200.0,3760.0
20,1280.0,4960.0,3760.0,8560.0,0.0,1120.0,3760.0
21,1280.0,4960.0,3760.0,8560.0,0.0,1120.0,3760.0
22,1280.0,4960.0,3840.0,8560.0,80.0,1120.0,3760.0
23,1280.0,4960.0,3840.0,8560.0,80.0,1040.0,3680.0
24,1200.0,4880.0,3840.0,8560.0,80.0,1120.0,3760.0
25,1280.0,4880.0,3840.0,8560.0,80.0,1120.0,3760.0
26,1280.0,4960.0,3840.0,8560.0,80.0,1040.0,3840.0
27,1200.0,4880.0,3840.0,8560.0,80.0,1040.0,3760.0
28,1200.0,4960.0,3840.0,8560.0,80.0,1040.0,3840.0
29,1280.0,4880.0,3920.0,8640.0,80.0,1040.0,3840.0
30,1200.0,4880.0,3840.0,8560.0,80.0,1040.0,3760.0
31,1200.0,4880.0,3840.0,8560.0,80.0,1040.0,3760.0
32,1200.0,4880.0,3920.0,8560.0,0.0,960.0,3840.0
33,1200.0,4880.0,3840.0,8560.0,80.0,960.0,3760.0
34,1200.0,4880.0,3840.0,8560.0,80.0,960.0,3840.0
35,1120.0,4880.0,3920.0,8560.0,80.0,960.0,3840.0
36,1120.0,4880.0,3840.0,8560.0,0.0,960.0,3840.0
37,1120.0,4800.0,3920.0,8560.0,0.0,960.0,3840.0
38,1200.0,4800.0,3920.0,8560.0,80.0,960.0,3840.0
39,1120.0,4800.0,3920.0,8560.0,80.0,960.0,3840.0
40,1120.0,4800.0,3920.0,8560.0,0.0,880.0,3840.0
41,1120.0,4800.0,3920.0,8560.0,80.0,880.0,3840.0
42,1120.0,4880.0,3920.0,8560.0,80.0,960.0,3840.0
43,1120.0,4800.0,3920.0,8560.0,80.0,880.0,3840.0
44,1040.0,4800.0,3920.0,8560.0,80.0,880.0,3840.0
45,1040.0,4800.0,3920.0,8560.0,80.0,880.0,3840.0
46,1040.0,4800.0,3920.0,8560.0,80.0,880.0,3840.0
47,960.0,4880.0,3920.0,8560.0,0.0,880.0,3840.0
48,1040.0,4800.0,3920.0,8560.0,80.0,800.0,3840.0
49,960.0,4800.0,4000.0,8560.0,80.0,800.0,3840.0
50,1040.0,4800.0,3920.0,8560.0,80.0,800.0,3840.0
51,1040.0,4800.0,3920.0,8560.0,80.0,800.0,3840.0
52,1040.0,4800.0,4000.0,8560.0,80.0,800.0,3920.0
53,960.0,4720.0,3920.0,8560.0,80.0,800.0,3840.0
54,960.0,4800.0,3920.0,8560.0,0.0,800.0,3840.0
55,960.0,4720.0,4000.0,8560.0,80.0,800.0,3840.0
56,960.0,4720.0,4000.0,8560.0,0.0,800.0,3840.0
57,960.0,4800.0,4000.0,8560.0,80.0,800.0,3920.0
58,960.0,4800.0,4000.0,8560.0,80.0,800.0,3920.0
59,960.0,4800.0,3920.0,8560.0,80.0,800.0,3920.0
60,880.0,4720.0,4000.0,8560.0,80.0,720.0,3840.0
61,880.0,4800.0,4000.0,8560.0,80.0,720.0,3920.0
62,880.0,4800.0,4000.0,8560.0,80.0,720.0,3920.0
63,880.0,4720.0,4000.0,8560.0,80.0,720.0,3920.0
64,880.0,4640.0,4000.0,8560.0,0.0,720.0,3840.0
65,880.0,4640.0,4000.0,8560.0,80.0,720.0,3920.0
66,880.0,4640.0,4000.0,8560.0,80.0,640.0,3920.0
67,800.0,4640.0,4000.0,8560.0,80.0,640.0,3920.0
68,880.0,4720.0,4000.0,8560.0,80.0,640.0,3920.0
69,800.0,4720.0,4080.0,8480.0,80.0,640.0,3920.0
70,880.0,4640.0,4000.0,8560.0,80.0,640.0,3920.0
71,800.0,4640.0,4000.0,8560.0,80.0,640.0,3920.0
72,720.0,4640.0,4080.0,8560.0,80.0,560.0,3920.0
73,720.0,4640.0,4080.0,8560.0,80.0,640.0,3920.0
74,720.0,4640.0,4080.0,8560.0,80.0,560.0,3920.0
75,800.0,4640.0,4000.0,8560.0,0.0,640.0,3920.0
76,800.0,4640.0,4080.0,8560.0,80.0,560.0,3920.0
77,800.0,4640.0,4000.0,8560.0,80.0,640.0,4000.0
78,720.0,4640.0,4000.0,8560.0,80.0,640.0,3920.0
79,720.0,4640.0,4080.0,8560.0,80.0,560.0,3920.0
80,720.0,4640.0,4080.0,8560.0,80.0,560.0,3920.0
81,720.0,4560.0,4000.0,8560.0,80.0,560.0,3920.0
82,720.0,4560.0,4080.0,8560.0,80.0,560.0,3920.0
83,720.0,4560.0,4080.0,8560.0,80.0,560.0,3920.0
84,720.0,4560.0,4080.0,8560.0,80.0,560.0,4000.0
85,640.0,4560.0,4080.0,8560.0,80.0,560.0,3920.0
86,640.0,4560.0,4080.0,8560.0,80.0,480.0,3920.0
87,640.0,4560.0,4080.0,8560.0,80.0,480.0,4000.0
88,640.0,4560.0,4080.0,8560.0,80.0,480.0,4000.0
89,640.0,4480.0,4080.0,8560.0,80.0,480.0,3920.0
90,640.0,4560.0,4080.0,8560.0,80.0,480.0,4000.0
91,640.0,4560.0,4080.0,8560.0,80.0,480.0,4000.0
92,560.0,4560.0,4080.0,8560.0,80.0,480.0,4000.0
93,560.0,4560.0,4080.0,8560.0,80.0,480.0,4000.0
94,640.0,4560.0,4080.0,8560.0,80.0,400.0,4000.0
95,640.0,4560.0,4080.0,8560.0,80.0,480.0,3920.0
96,640.0,4480.0,4080.0,8560.0,80.0,480.0,4000.0
97,640.0,4480.0,4080.0,8560.0,80.0,480.0,4000.0
98,560.0,4480.0,4080.0,8560.0,0.0,480.0,4000.0
99,560.0,4480.0,4080.0,8560.0,80.0,400.0,4000.0
100,560.0,4480.0,4160.0,8560.0,80.0,400.0,4000.0
101,560.0,4480.0,4080.0,8560.0,80.0,400.0,4000.0
102,560.0,4480.0,4080.0,8560.0,80.0,400.0,4000.0
103,480.0,4480.0,4080.0,8560.0,80.0,480.0,4000.0
104,560.0,4480.0,4080.0,8560.0,0.0,400.0,4000.0
105,480.0,4480.0,4080.0,8560.0,80.0,400.0,4000.0
106,480.0,4480.0,4080.0,8560.0,80.0,400.0,4000.0
107,480.0,4480.0,4080.0,8560.0,80.0,320.0,4000.0
108,480.0,4480.0,4080.0,8560.0,0.0,400.0,4000.0
109,480.0,4400.0,4080.0,8560.0,80.0,320.0,4000.0
110,480.0,4400.0,4080.0,8560.0,80.0,320.0,4000.0
111,480.0,4400.0,4080.0,8560.0,80.0,320.0,4000.0
112,480.0,4400.0,4080.0,8560.0,80.0,320.0,4000.0
113,480.0,4400.0,4160.0,8560.0,0.0,320.0,4000.0
114,480.0,4400.0,4080.0,8560.0,0.0,320.0,4000.0
115,480.0,4320.0,4080.0,8560.0,80.0,320.0,4000.0
116,480.0,4400.0,4160.0,8560.0,80.0,320.0,4000.0
117,400.0,4400.0,4080.0,8560.0,0.0,320.0,4000.0
118,400.0,4400.0,4080.0,8560.0,80.0,240.0,4000.0
119,400.0,4400.0,4080.0,8560.0,80.0,320.0,4000.0
120,400.0,4400.0,4160.0,8560.0,80.0,240.0,4000.0
121,480.0,4400.0,4080.0,8560.0,80.0,240.0,4000.0
122,400.0,4320.0,4080.0,8560.0,80.0,240.0,4000.0
123,400.0,4320.0,4080.0,8560.0,80.0,240.0,4000.0
124,400.0,4320.0,4160.0,8560.0,0.0,240.0,4000.0
125,320.0,4320.0,4080.0,8560.0,80.0,240.0,4000.0
