index,Rg_Voltage(mV)(Ch1_Ch2),Gen_Voltage(mV)(Ch2),GS_Voltage(mV)(Ch2),Rn_Voltage(mV)(Ch3),DS_Voltage(mV)(Ch4),Rg_Voltage(mV)(Ch1_Ch2_no_Un),GS_Voltage(mV)(Ch1_Ch2_no_Un)
1,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
2,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
3,0.0,2480.0,2560.0,8480.0,-80.0,80.0,2320.0
4,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
5,-80.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
6,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
7,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
8,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
9,-160.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
10,80.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
11,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
12,80.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
13,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
14,0.0,2560.0,2560.0,8480.0,80.0,80.0,2240.0
15,80.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
16,80.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
17,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
18,0.0,2480.0,2560.0,8400.0,0.0,80.0,2320.0
19,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
20,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
21,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
22,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
23,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
24,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
25,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
26,0.0,2480.0,2480.0,8480.0,0.0,80.0,2240.0
27,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
28,80.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
29,80.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
30,80.0,2480.0,2560.0,8480.0,-80.0,80.0,2240.0
31,80.0,2480.0,2480.0,8480.0,0.0,80.0,2240.0
32,0.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
33,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
34,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
35,0.0,2480.0,2560.0,8400.0,0.0,80.0,2240.0
36,0.0,2560.0,2480.0,8400.0,0.0,80.0,2320.0
37,0.0,2480.0,2560.0,8480.0,0.0,160.0,2320.0
38,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
39,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
40,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
41,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
42,80.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
43,80.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
44,80.0,2560.0,2560.0,8480.0,-80.0,80.0,2240.0
45,80.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
46,80.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
47,80.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
48,0.0,2560.0,2480.0,8400.0,0.0,80.0,2240.0
49,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
50,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
51,0.0,2480.0,2560.0,8400.0,0.0,80.0,2320.0
52,0.0,2480.0,2480.0,8480.0,0.0,80.0,2240.0
53,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
54,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
55,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
56,0.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
57,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
58,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
59,80.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
60,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
61,80.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
62,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
63,80.0,2560.0,2560.0,8480.0,80.0,80.0,2240.0
64,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
65,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
66,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
